Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Skjærstein,Knut-Andrè Søyland Skjærstein,402158,Strømmen,Strømmen,https://cdn5.wyscout.com/photos/team/public/2608_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,31.0,1995-07-06,200000,,16,1584,0,0.0,1,0.08,0.51,100.0,Norway,['Norway'],left,190,87,False,1.1400000000000001,0.06,100.0,0.23,100.0,0.0,0.0,0.0,1.08,1.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,11.02,0.23,0.28,21.08,67.92,15.23,60.07,0.17,66.67,8.47,92.62,12.56,51.58,43.02,54.63,0.0,0.06,0.0,0.0,0.0,0.0,0.06,5.0,46.59,0.28,20.0,0.17,66.67,0.0,0.0,9.55,66.67,91.3,5.23,37,2.1,86,4.89,2,56.98,29.83,1.7000000000000002,-7.17,-0.40700000000000003,0.0,2.67,0.23,,,,0.0,0,0
T. Kinn,Thomas Kinn,337847,Hødd,Hødd,https://cdn5.wyscout.com/photos/team/public/1623_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,27.0,1999-02-07,250000,2026-12-31,16,1583,0,0.0,1,0.1,0.97,88.24,Norway,['Norway'],right,189,0,False,0.5700000000000001,0.23,75.0,0.51,100.0,0.06,0.07,0.0,0.34,0.43,0.06,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,66.67,0.0,0.0,0.06,16.94,0.34,0.28,26.15,76.96,13.99,60.16,0.17,100.0,15.92,96.79,10.18,46.37,33.39,51.9,0.01,0.06,0.0,0.0,0.0,0.0,0.11,3.47,26.23,0.51,11.11,0.06,0.0,0.06,0.0,6.6,62.93,96.34,10.86,26,1.48,89,5.06,2,70.79,26.44,1.5,0.44,0.025,0.0,1.71,0.51,,,,0.0,0,0
L. Jendal,Lars Larsson Jendal,402938,Sogndal,Sogndal,https://cdn5.wyscout.com/photos/team/public/1611_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,27.0,1999-04-24,250000,2026-12-31,16,1574,0,0.0,0,0.0,0.46,87.5,Norway,['Norway'],right,193,85,False,1.09,0.0,0.0,0.34,83.33,0.0,0.0,0.0,1.09,1.24,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,14.75,0.17,0.17,26.3,82.61,16.07,74.73,0.11,100.0,15.38,98.88,10.86,60.0,34.7,52.7,0.0,0.0,0.0,0.06,0.0,0.0,0.0,5.09,59.55,0.51,22.22,0.0,0.0,0.23,0.0,8.06,78.72,95.45,8.81,42,2.4,127,7.26,1,66.93,42.59,2.44,0.59,0.034,0.0,1.54,0.34,,,,0.0,0,0
A. Olsen,Anders Björntvedt Olsen,-128228,Lyn,Lyn,https://cdn5.wyscout.com/photos/team/public/609_120x120.png,Obos Ligaen,"CF, RWF, RW",CF,34,RWF,31,RW,22,26.0,1999-09-20,250000,2026-12-31,16,1568,2,5.0,6,3.96,18.94,39.09,Norway,['Norway'],right,188,0,False,4.08,3.27,38.6,6.03,37.14,0.0,0.0,0.11,2.81,3.48,1.15,3,0.17,0,0.0,3.44,0.11,1,0.06,0.29,0,0.0,59,3.39,28.81,3.39,0.34,3.16,30.91,0.0,0.0,3.1,29.63,0.4,2.18,68.42,7.92,41.3,4.76,1.55,0.23,24.74,2.35,1.32,28.07,67.08,6.08,55.66,6.03,82.86,23.88,73.8,1.32,26.09,17.35,30.03,0.23,1.03,0.0,0.0,0.06,0.0,0.92,2.41,64.29,3.9,42.65,0.23,25.0,1.8399999999999999,0.75,3.44,68.33,64.97,9.01,0,,0,,0,0.0,0.0,0.0,,,0.06,,6.03,0.23,0.23,0.0,0.17,1,100
A. Pedersen,John Alexander Pedersen Hurlen,248512,Lyn,Lyn,https://cdn5.wyscout.com/photos/team/public/609_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,31.0,1995-07-30,125000,2028-12-31,16,1568,0,0.0,0,0.0,0.6900000000000001,91.67,Norway,['Norway'],right,190,90,False,1.43,0.17,66.67,0.4,100.0,0.0,0.0,0.0,1.32,1.6400000000000001,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,10.16,0.17,0.06,18.88,73.56,12.8,67.71,0.06,100.0,9.7,95.86,9.18,50.0,36.01,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,35.71,0.4,14.29,0.17,33.33,0.06,0.0,6.77,67.8,85.26,5.45,33,1.8900000000000001,96,5.51,4,65.63,30.28,1.74,-2.7199999999999998,-0.156,0.0,2.3,0.4,,,,0.0,0,0
K. Ekornes,Karsten Arman Ekornes,-409677,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/610_120x120.png,Obos Ligaen,LB,LB,99,,0,,0,20.0,2006-07-07,0,2028-12-31,16,1566,2,1.02,3,3.24,14.2,54.66,Norway,['Norway'],,0,0,False,8.05,6.32,61.82,3.05,54.72,0.23,0.33,0.11,3.91,5.53,1.03,3,0.17,0,0.0,2.07,0.11,2,0.11,0.06,1,0.06,13,0.75,38.46,15.385,0.17,2.41,64.29,2.41,64.29,0.0,0.0,0.34,0.46,50.0,2.87,38.0,2.07,1.6099999999999999,0.23,50.4,2.18,0.8,63.45,87.05,24.71,80.0,14.94,96.54,56.38,90.62,4.83,55.95,16.86,38.55,0.19,1.15,0.11,0.11,0.06,0.0,0.8,6.44,79.46,3.16,63.64,0.29,20.0,1.15,1.38,10.52,71.58,89.43,14.14,0,,0,,0,0.0,0.0,0.0,,,0.8,,3.05,0.0,0.0,0.0,0.06,0,0
M. Ulla,Marius Amundsen Ulla,-93435,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/610_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,24.0,2002-06-10,150000,2028-12-31,16,1566,0,0.0,0,0.0,0.75,69.23,Norway,['Norway'],right,192,79,False,0.75,0.17,33.33,0.46,87.5,0.0,0.0,0.0,0.6900000000000001,0.98,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.23,0.06,24.89,83.6,12.18,71.23,0.11,100.0,17.47,96.05,7.41,54.26,31.74,52.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,39.02,0.46,0.0,0.06,0.0,0.0,0.0,5.63,63.27,96.04,11.61,16,0.92,69,3.9699999999999998,7,76.81,19.04,1.09,3.04,0.17500000000000002,0.06,2.36,0.46,,,,0.0,0,0
M. Mbow,Mapenda Mbow,-413504,Kongsvinger,Kongsvinger,https://cdn5.wyscout.com/photos/team/public/1620_120x120.png,Obos Ligaen,LCB,LCB,98,,0,,0,22.0,2004-07-20,0,2029-12-31,16,1566,0,0.36,0,0.0,13.39,51.5,Senegal,['Senegal'],,182,77,False,8.68,4.54,49.37,4.6,58.75,0.06,0.08,0.6900000000000001,6.38,9.38,1.8399999999999999,3,0.17,0,0.0,0.11,0.0,0,0.0,0.02,0,0.0,6,0.34,16.67,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.17,33.33,2.41,40.48,0.17,0.17,0.0,37.47,0.34,0.8,57.07,90.74,18.74,78.83,3.91,100.0,52.47,93.32,4.48,62.82,21.44,42.12,0.0,0.0,0.06,0.11,0.0,0.0,0.0,6.09,83.02,0.17,0.0,0.0,0.0,0.0,0.06,8.51,67.57,97.19,28.68,0,,0,,0,0.0,0.0,0.0,,,3.1,,4.6,0.0,0.0,0.0,0.0,0,0
A. Gorodovoy,Aleksey Gorodovoy,239464,Kongsvinger,Kongsvinger,https://cdn5.wyscout.com/photos/team/public/1620_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,32.0,1993-08-10,275000,2026-12-31,16,1566,0,0.0,0,0.0,0.63,90.91,Russia,['Russia'],both,191,82,False,1.55,0.11,50.0,0.34,100.0,0.0,0.0,0.0,1.49,2.2,0.06,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.06,0.0,0.0,18.51,0.29,0.29,30.69,79.96,16.15,67.26,0.11,0.0,20.98,95.34,9.66,47.02,33.44,48.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,21.74,0.17,0.0,0.23,0.0,0.0,0.0,7.36,55.47,95.49,14.02,25,1.44,80,4.6,2,68.75,25.96,1.49,0.96,0.055,0.0,2.13,0.34,,,,0.0,0,0
K. Skaanes,Kasper Holmboe Skaanes,232572,Sogndal,Sogndal,https://cdn5.wyscout.com/photos/team/public/1611_120x120.png,Obos Ligaen,"LW, AMF, LCMF",LW,29,AMF,17,LCMF,12,31.0,1995-03-19,150000,2027-12-31,16,1565,3,2.4,8,7.17,13.0,47.35,Norway,['Norway'],right,175,61,False,3.11,3.16,47.27,2.8200000000000003,51.02,0.0,0.0,0.12,1.6099999999999999,1.85,0.86,2,0.12,0,0.0,3.45,0.17,3,0.17,0.14,0,0.0,17,0.98,47.06,17.647,0.46,4.77,31.33,2.5300000000000002,22.73,2.19,42.11,1.15,2.42,61.9,6.15,49.53,4.49,2.65,0.46,25.88,1.78,0.98,34.91,79.41,10.75,78.61,7.59,96.97,28.98,88.69,1.21,42.86,15.77,32.46,0.41000000000000003,2.19,0.12,0.0,0.06,0.0,1.55,2.76,75.0,4.72,41.46,0.12,0.0,2.07,1.78,5.12,82.02,65.9,9.95,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.8200000000000003,0.0,0.0,0.0,0.35000000000000003,0,0
