Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Diop,Moustapha Diop,-591257,RFC Seraing,RFC Seraing,https://cdn5.wyscout.com/photos/team/public/g278_120x120.png,Challenger Pro League,"LCB, RCB",LCB,65,RCB,34,,0,20,2006-06-15,0,,3,308,1,0.6000000000000001,0,0.0,7.31,76.0,Senegal,['Senegal'],unknown,0,0,False,6.14,2.63,77.78,3.51,75.0,0.29,0.32,0.29,3.8,4.19,0.58,0,0.0,0,0.0,0.58,0.29,1,0.29,0.18,1,0.29,4,1.17,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,2.05,0.0,0.0,17.82,0.29,0.0,31.27,85.05,14.32,77.55,1.46,100.0,28.05,89.58,3.21,45.45,23.76,42.77,0.0,0.29,0.0,0.0,0.0,0.0,0.0,3.21,54.55,0.0,0.0,0.0,0.0,0.0,0.0,4.38,80.0,89.13,13.44,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.51,0.0,0.0,0.0,0.0,0,0
Emmanuel Da Costa,Emmanuel  Mutela Tshimbalanga,-576088,RFC Seraing,RFC Seraing,https://cdn5.wyscout.com/photos/team/public/g278_120x120.png,Challenger Pro League,RB,RB,100,,0,,0,22,2004-06-19,0,,3,308,0,0.03,0,0.33,15.49,45.28,Belgium,['Belgium'],unknown,0,0,False,6.72,7.31,44.0,0.58,100.0,0.0,0.0,0.0,3.51,3.87,1.17,1,0.29,0,0.0,1.46,0.0,0,0.0,0.01,0,0.0,2,0.58,50.0,0.0,0.0,2.34,25.0,0.0,0.0,2.34,25.0,0.0,1.17,50.0,6.72,39.13,1.75,1.75,0.58,19.58,1.46,1.46,27.76,66.32,12.86,56.82,4.09,92.86,23.38,73.75,2.63,22.22,18.28,40.59,0.1,0.29,0.0,0.0,0.0,0.0,0.29,4.38,66.67,2.05,28.57,0.0,0.0,0.0,0.58,7.89,70.37,62.5,7.01,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.58,0.0,0.0,0.0,0.0,0,0
N. Gillekens,Nick Gillekens,301747,RFC Seraing,RFC Seraing,https://cdn5.wyscout.com/photos/team/public/g278_120x120.png,Challenger Pro League,GK,GK,100,,0,,0,31,1995-07-05,350000,2027-06-30,3,308,0,0.0,0,0.0,0.88,66.67,Belgium,['Belgium'],right,185,80,False,0.29,0.0,0.0,0.58,50.0,0.0,0.0,0.0,0.29,0.32,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,10.81,0.29,0.58,20.16,63.77,11.69,42.5,0.0,0.0,10.81,94.59,9.35,28.13,38.61,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,12.5,0.88,0.0,0.0,0.0,0.0,0.0,4.68,56.25,92.59,7.89,6,1.75,17,4.97,0,64.71,5.49,1.6099999999999999,-0.51,-0.149,0.0,2.34,0.58,,,,0.0,0,0
V. Corneillie,Victor Corneillie,419050,RFC Seraing,RFC Seraing,https://cdn5.wyscout.com/photos/team/public/g278_120x120.png,Challenger Pro League,"RCB, LCB",RCB,65,LCB,34,,0,28,1997-09-03,0,2027-06-30,3,308,0,0.28,0,0.0,8.47,79.31,France,['France'],,192,0,False,9.35,3.8,69.23,3.8,84.62,0.0,0.0,1.17,6.72,7.42,1.17,0,0.0,0,0.0,0.29,0.0,0,0.0,0.08,0,0.0,2,0.58,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,100.0,0.58,0.29,0.0,18.12,0.0,0.88,33.02,79.65,17.53,70.0,2.05,71.43,28.64,84.69,4.38,46.67,22.02,42.06,0.0,0.0,0.0,0.29,0.0,0.0,0.0,4.97,58.82,0.0,0.0,0.0,0.0,0.0,0.0,8.18,57.14,97.56,11.98,0,,0,,0,0.0,0.0,0.0,,,1.17,,3.8,0.0,0.0,0.0,0.0,0,0
E. N'Jo,Eric N'Jo,-317716,Liège,Liège,https://cdn5.wyscout.com/photos/team/public/1681_120x120.png,Challenger Pro League,RCB,RCB,97,,0,,0,22,2004-06-01,0,,3,303,0,0.09,0,0.36,8.61,44.83,France,"['France', 'Cameroon']",right,195,84,False,6.83,2.67,33.33,2.67,66.67,0.0,0.0,1.49,5.94,8.57,0.89,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.03,0,0.0,1,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,16.67,0.59,0.89,0.89,34.16,0.59,0.59,46.93,91.14,17.82,80.0,1.78,100.0,37.72,96.06,9.21,70.97,26.38,43.65,0.11,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,4.75,68.75,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,9.21,80.65,97.73,26.14,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.67,0.0,0.0,0.0,0.0,0,0
P. Ngawa,Pierre-Yves Ngawa,158688,Liège,Liège,https://cdn5.wyscout.com/photos/team/public/1681_120x120.png,Challenger Pro League,LCB,LCB,97,,0,,0,34,1992-02-09,200000,2027-06-30,3,303,0,0.07,0,0.0,6.24,66.67,Belgium,"['Belgium', 'Congo DR']",right,181,77,False,8.91,3.27,63.64,2.38,87.5,0.0,0.0,0.89,6.83,9.86,0.89,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,31.78,0.30000000000000004,0.89,38.91,93.13,10.69,77.78,0.59,100.0,36.53,96.75,2.38,37.5,22.52,39.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,62.5,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,4.16,50.0,98.82,25.25,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.38,0.0,0.0,0.0,0.0,0,0
J. D'Ostilio,Jonathan D'Ostilio,300496,Liège,Liège,https://cdn5.wyscout.com/photos/team/public/1681_120x120.png,Challenger Pro League,LB,LB,97,,0,,0,32,1994-02-24,0,,3,303,0,0.22,0,0.17,11.88,60.0,Belgium,['Belgium'],,175,70,False,8.32,6.83,65.22,2.08,14.29,0.0,0.0,0.30000000000000004,3.86,5.57,0.59,0,0.0,0,0.0,1.49,0.0,0,0.0,0.06,0,0.0,2,0.59,0.0,0.0,0.0,2.08,14.29,1.49,0.0,0.59,50.0,0.30000000000000004,0.89,100.0,2.9699999999999998,80.0,0.89,1.19,0.30000000000000004,30.0,2.08,1.49,40.1,83.7,14.85,78.0,8.61,96.55,32.38,92.66,5.64,57.89,21.83,45.3,0.05,0.59,0.0,0.0,0.30000000000000004,100.0,0.0,7.13,70.83,2.38,25.0,0.30000000000000004,100.0,0.30000000000000004,0.30000000000000004,8.61,65.52,80.0,10.4,0,,0,,0,0.0,0.0,0.0,,,0.59,,2.08,0.89,0.0,0.0,2.08,0,0
V. Mabanza,Vancy Mabanza,-562765,KSC Lokeren-Temse,KSC Lokeren-Temse,https://cdn5.wyscout.com/photos/team/public/g-13593_120x120.png,Challenger Pro League,CF,CF,100,,0,,0,25,2000-11-27,0,2027-06-30,3,303,2,2.91,0,0.05,19.9,44.78,Congo,['Congo'],,196,0,False,4.16,2.67,22.22,5.35,44.44,0.0,0.0,0.89,3.56,6.32,2.38,0,0.0,0,0.0,2.08,0.59,1,0.30000000000000004,0.86,0,0.0,11,3.27,63.64,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,8.02,33.33,5.94,0.0,0.0,7.13,2.38,2.08,6.83,69.57,1.19,75.0,1.78,66.67,6.53,72.73,0.30000000000000004,0.0,15.82,7.61,0.01,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.30000000000000004,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.89,66.67,70.0,2.9699999999999998,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.35,0.0,0.0,0.0,0.0,1,100
A. Spegelaere,Andreas Spegelaere,-371357,KSC Lokeren-Temse,KSC Lokeren-Temse,https://cdn5.wyscout.com/photos/team/public/g-13593_120x120.png,Challenger Pro League,LCB,LCB,100,,0,,0,23,2003-02-02,0,2027-06-30,3,303,0,0.96,0,0.0,8.61,55.17,Belgium,['Belgium'],right,184,75,False,6.53,2.38,50.0,3.56,58.33,0.0,0.0,0.59,5.35,9.47,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.29,0,0.0,3,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,1.19,25.0,1.49,0.59,0.30000000000000004,37.72,0.30000000000000004,0.30000000000000004,52.28,92.61,18.42,85.48,2.67,88.89,49.6,96.41,2.67,22.22,20.2,39.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,75.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,4.46,53.33,98.85,25.84,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.56,0.0,0.0,0.0,0.0,0,0
Jordi Palacios,Jordi Palacios Navarro,-352564,KSC Lokeren-Temse,KSC Lokeren-Temse,https://cdn5.wyscout.com/photos/team/public/g-13593_120x120.png,Challenger Pro League,LB,LB,100,,0,,0,24,2002-05-24,0,2027-06-30,3,303,0,0.12,1,0.11,8.02,74.07,Spain,['Spain'],left,0,0,False,5.64,5.35,66.67,1.49,80.0,0.30000000000000004,0.53,0.0,1.78,3.16,0.30000000000000004,0,0.0,0,0.0,2.38,0.0,0,0.0,0.03,0,0.0,3,0.89,100.0,0.0,0.30000000000000004,3.56,25.0,3.56,25.0,0.0,0.0,0.30000000000000004,0.59,100.0,1.19,100.0,1.19,1.78,0.0,42.48,2.38,0.0,50.2,86.39,12.77,74.42,13.37,97.78,43.37,92.47,3.27,72.73,16.86,38.48,0.03,0.89,0.0,0.0,0.0,0.0,0.59,4.16,78.57,3.56,33.33,0.0,0.0,0.59,1.19,8.91,83.33,76.6,13.96,0,,0,,0,0.0,0.0,0.0,,,1.78,,1.49,0.0,0.0,0.0,0.0,0,0
