Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Kop,Lize Kop,386755,Tottenham Hotspur,Tottenham Hotspur,https://cdn5.wyscout.com/photos/team/public/g11962_120x120.png,Barclays Women's Super League,GK,GK,100,,0,,0,28,1998-03-17,0,,22,2217,0,0.0,0,0.0,0.97,95.83,Netherlands,['Netherlands'],,0,0,False,1.6600000000000001,0.2,80.0,0.5700000000000001,100.0,0.04,0.05,0.0,1.46,1.9500000000000002,0.0,1,0.04,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.2,100.0,0.0,0.0,0.04,24.48,0.0,0.12,33.29,91.59,12.42,79.74,0.08,100.0,25.86,98.27,7.43,68.31,24.55,37.44,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.32,25.0,0.0,0.0,0.04,0.0,0.0,0.0,5.07,56.8,98.54,19.45,38,1.54,108,4.38,6,64.81,36.1,1.47,-1.9,-0.077,0.08,1.58,0.5700000000000001,,,,0.0,0,0.0
Elene Lete,Elene Lete Para,-143321,London City Lionesses,London City Lionesses,https://cdn5.wyscout.com/photos/team/public/g5255_120x120.png,Barclays Women's Super League,GK,GK,100,,0,,0,24,2002-05-07,0,,22,2214,0,0.0,0,0.0,0.33,62.5,Spain,['Spain'],,173,66,False,1.79,0.16,50.0,0.16,75.0,0.0,0.0,0.0,1.71,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72,0.16,0.0,28.58,86.91,13.37,75.99,0.04,100.0,21.02,96.52,7.5600000000000005,60.22,25.15,40.48,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.61,20.0,0.0,0.0,0.04,0.0,0.0,0.0,5.49,55.56,96.56,13.01,35,1.42,93,3.7800000000000002,3,62.37,32.57,1.32,-2.43,-0.099,0.04,0.93,0.16,,,,0.0,0,0.0
M. Le Tissier,Maya Le Tissier,-73816,Manchester United,Manchester United,https://cdn5.wyscout.com/photos/team/public/g-9076_120x120.png,Barclays Women's Super League,RCB,RCB,99,,0,,0,24,2002-04-18,0,,22,2199,1,1.2,2,1.31,11.01,63.2,England,['England'],,171,0,False,7.86,5.28,65.89,2.37,72.41,0.08,0.11,0.78,4.3,6.02,0.41000000000000003,0,0.0,0,0.0,0.41000000000000003,0.04,0,0.0,0.05,0,0.0,4,0.16,25.0,25.0,0.08,0.49,33.33,0.0,0.0,0.49,33.33,0.08,0.25,83.33,2.29,48.21,0.37,1.02,0.08,49.48,0.2,0.8200000000000001,66.59,87.71,25.17,76.1,4.5,96.36,56.28,93.53,9.82,57.08,22.05,39.75,0.05,0.41000000000000003,0.0,0.12,0.0,0.0,0.2,9.82,66.67,1.35,39.39,1.15,39.29,0.41000000000000003,0.16,10.35,76.28,96.5,31.6,0,,0,,0,0.0,0.0,0.0,,,2.8200000000000003,,2.37,0.45,0.0,0.0,0.29,1,100.0
K. Shaw,Khadija Monifa Shaw,214759,Manchester City,Manchester City,https://cdn5.wyscout.com/photos/team/public/g5266_120x120.png,Barclays Women's Super League,CF,CF,100,,0,,0,29,1997-01-31,0,,22,2159,20,19.61,4,3.23,21.55,39.85,Jamaica,['Jamaica'],,0,0,False,3.13,1.88,57.78,6.13,50.34,0.21,0.30000000000000004,0.04,1.83,2.63,0.42,0,0.0,0,0.0,4.63,0.8300000000000001,18,0.75,0.8200000000000001,7,0.29,102,4.25,46.08,19.608,0.17,1.38,21.21,0.21,40.0,1.04,20.0,0.42,3.67,59.09,11.67,35.0,7.46,1.33,0.17,11.3,1.79,0.79,15.59,62.83,3.29,53.16,2.63,84.13,13.55,66.46,0.71,70.59,15.56,15.94,0.13,0.8300000000000001,0.08,0.0,0.25,83.33,0.5,1.58,50.0,1.0,62.5,0.38,88.89,1.29,0.38,1.67,80.0,64.75,5.09,0,,0,,0,0.0,0.0,0.0,,,0.13,,6.13,0.0,0.0,0.0,0.0,3,66.667
Martina Fernández,Martina Fernández Vila,-321308,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/g5247_120x120.png,Barclays Women's Super League,"LCB, RCB, RB",LCB,62,RCB,16,RB,14,22,2004-01-10,0,,22,2154,2,0.67,1,0.85,9.86,53.81,Spain,['Spain'],unknown,0,0,False,8.48,5.35,57.81,2.38,52.63,0.25,0.28,0.71,5.14,5.69,0.96,4,0.17,0,0.0,0.21,0.08,2,0.08,0.03,2,0.08,5,0.21,40.0,40.0,0.04,0.25,16.67,0.13,33.33,0.13,0.0,0.08,0.25,33.33,0.88,33.33,0.58,0.21,0.04,31.3,0.25,0.13,43.08,86.13,16.42,77.1,2.01,89.58,39.32,90.33,3.51,44.05,17.95,34.9,0.04,0.29,0.04,0.0,0.0,0.0,0.13,2.63,49.21,0.71,35.29,0.38,33.33,0.42,0.08,5.89,45.39,95.08,18.68,0,,0,,0,0.0,0.0,0.0,,,0.84,,2.38,0.0,0.0,0.0,0.0,0,0.0
Jana Fernandez,Jana Fernandez Velasco,513717,London City Lionesses,London City Lionesses,https://cdn5.wyscout.com/photos/team/public/g5255_120x120.png,Barclays Women's Super League,RB,RB,91,,0,,0,24,2002-02-18,0,,22,2124,1,0.9500000000000001,0,1.7000000000000002,16.65,52.93,Spain,['Spain'],,0,0,False,11.02,8.26,65.13,1.78,57.14,0.76,0.99,0.38,4.87,6.35,0.89,2,0.08,0,0.0,1.99,0.04,1,0.04,0.04,0,0.0,20,0.85,25.0,5.0,0.0,2.25,33.96,0.08,50.0,2.16,33.33,0.42,1.6099999999999999,57.89,4.87,40.0,0.64,1.9100000000000001,0.81,28.56,1.53,0.85,40.59,75.68,17.75,65.39,7.8,91.3,33.98,82.42,4.45,43.81,18.16,31.16,0.07,0.51,0.0,0.04,0.08,100.0,0.25,5.8100000000000005,63.5,2.5,35.59,0.47000000000000003,18.18,0.17,0.81,8.94,64.45,80.62,9.62,0,,0,,0,0.0,0.0,0.0,,,1.31,,1.78,0.04,0.0,0.0,0.0,0,0.0
P. Tullis-Joyce,Phallon Tullis-Joyce,-139662,Manchester United,Manchester United,https://cdn5.wyscout.com/photos/team/public/g-9076_120x120.png,Barclays Women's Super League,GK,GK,100,,0,,0,29,1996-10-19,0,,21,2095,0,0.0,0,0.0,0.64,86.67,United States,['United States'],,0,0,False,1.37,0.04,0.0,0.39,88.89,0.0,0.0,0.0,1.37,1.9300000000000002,0.04,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,0.0,0.0,14.82,0.13,0.26,19.5,88.55,8.03,73.8,0.0,0.0,15.51,98.34,4.0,50.54,21.62,38.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.0,0.0,0.0,0.0,0.0,0.09,0.0,3.14,53.42,100.0,9.02,19,0.8200000000000001,76,3.26,7,75.0,24.59,1.06,5.59,0.24,0.0,1.2,0.39,,,,0.0,0,0.0
S. Tierney,Samantha Tierney,409242,Leicester City WFC,Leicester City WFC,https://cdn5.wyscout.com/photos/team/public/g9525_120x120.png,Barclays Women's Super League,"RCMF, RDMF",RCMF,68,RDMF,10,,0,27,1998-10-08,0,,21,2064,1,1.6,0,1.42,17.53,55.97,England,['England'],,0,0,False,9.77,8.46,63.92,2.49,47.37,0.22,0.23,0.17,4.14,4.29,1.26,7,0.31,0,0.0,0.87,0.04,1,0.04,0.07,0,0.0,10,0.44,40.0,10.0,0.0,0.65,53.33,0.04,0.0,0.61,57.14,0.04,0.61,57.14,4.67,47.66,0.48,0.5700000000000001,0.04,15.92,0.78,1.96,26.64,71.19,11.29,56.37,4.45,91.18,21.85,77.45,4.19,41.67,18.87,36.26,0.06,0.7000000000000001,0.04,0.0,0.04,0.0,0.35000000000000003,5.63,54.26,1.7000000000000002,51.28,0.5700000000000001,15.38,0.31,0.31,5.41,62.1,78.34,6.85,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.49,1.22,0.04,0.0,1.0,0,0.0
M. Olislagers,Marisa Olislagers,427242,Brighton & Hove Albion,Brighton & Hove Albion,https://cdn5.wyscout.com/photos/team/public/g5251_120x120.png,Barclays Women's Super League,"LB, LWB, LW",LB,57,LWB,20,LW,13,25,2000-09-09,0,,22,2063,2,0.96,1,2.98,10.64,46.72,Netherlands,['Netherlands'],,0,0,False,6.98,5.45,56.8,0.8300000000000001,36.84,0.09,0.1,0.26,3.8,4.53,0.5700000000000001,2,0.09,0,0.0,1.18,0.09,2,0.09,0.04,0,0.0,7,0.31,57.14,28.571,0.04,1.53,42.86,0.96,31.82,0.5700000000000001,61.54,0.26,0.7000000000000001,50.0,3.05,32.86,1.0,0.79,0.0,26.52,0.96,0.17,35.42,78.69,12.39,63.73,7.37,92.31,30.63,84.19,3.27,44.0,17.49,36.6,0.13,0.79,0.04,0.04,0.0,0.0,0.26,3.88,56.18,2.14,48.98,0.22,0.0,0.5700000000000001,0.7000000000000001,6.5,63.09,84.62,9.64,0,,0,,0,0.0,0.0,0.0,,,0.44,,0.8300000000000001,0.48,0.04,0.0,1.83,0,0.0
K. Casparij,Kerstin Yasmijn Casparij,428866,Manchester City,Manchester City,https://cdn5.wyscout.com/photos/team/public/g5266_120x120.png,Barclays Women's Super League,RB,RB,98,,0,,0,25,2000-08-19,0,,21,2063,3,2.22,7,4.08,12.52,55.75,Netherlands,['Netherlands'],,0,0,False,8.94,6.63,69.08,1.92,47.73,0.22,0.31,0.26,4.14,5.93,0.5700000000000001,1,0.04,0,0.0,1.96,0.13,3,0.13,0.1,1,0.04,15,0.65,40.0,20.0,0.31,3.14,38.89,0.09,0.0,3.05,40.0,0.92,1.18,37.04,3.05,34.29,1.53,1.4,0.35000000000000003,29.45,1.31,0.44,40.0,80.15,15.57,72.83,8.25,94.71,34.2,87.24,2.75,38.1,17.71,26.95,0.18,0.92,0.04,0.13,0.13,33.33,0.52,5.15,77.12,3.88,53.93,0.61,42.86,0.92,1.22,9.12,75.12,79.17,10.47,0,,0,,0,0.0,0.0,0.0,,,0.52,,1.92,0.0,0.0,0.0,1.13,0,0.0
