Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Azzopardi,Jake Azzopardi,-336553,Valletta,Valletta,https://cdn5.wyscout.com/photos/team/public/2007_120x120.png,Premier League,"RCMF, LCMF, LW",RCMF,54,LCMF,28,LW,12,20.0,2006-02-13,0,2029-06-30,4,411,0,0.38,0,0.48,10.73,40.82,Malta,['Malta'],right,0,0,False,7.66,4.6,52.38,1.53,28.57,0.88,1.5,0.66,4.38,7.5,1.09,1,0.22,0,0.0,0.44,0.0,0,0.0,0.08,0,0.0,3,0.66,33.33,0.0,0.0,0.22,100.0,0.0,0.0,0.22,100.0,0.0,0.44,0.0,4.16,26.32,0.66,1.09,0.0,21.24,0.22,0.88,28.47,73.85,11.17,50.98,5.26,91.67,24.09,79.09,4.16,42.11,18.5,28.59,0.1,0.66,0.0,0.0,0.0,0.0,0.22,5.47,64.0,1.75,37.5,0.44,0.0,0.44,0.22,5.04,78.26,91.43,7.66,0,,0,,0,0.0,0.0,0.0,,,0.66,,1.53,0.0,0.0,0.0,0.0,0,0
M. Mbende,Moise Emmanuel Mbende,308245,Valletta,Valletta,https://cdn5.wyscout.com/photos/team/public/2007_120x120.png,Premier League,RCB,RCB,92,,0,,0,30.0,1996-03-03,250000,,4,411,1,0.47000000000000003,0,0.1,7.88,52.78,Cameroon,"['Cameroon', 'Germany']",right,196,98,False,6.35,2.63,66.67,2.63,58.33,0.0,0.0,0.66,4.6,7.88,1.53,0,0.0,0,0.0,0.44,0.22,1,0.22,0.1,0,0.0,2,0.44,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,1.09,40.0,0.88,0.44,0.0,30.22,0.44,0.0,42.92,87.76,15.33,75.71,2.85,100.0,38.32,93.14,4.6,42.86,21.82,39.56,0.02,0.44,0.0,0.0,0.0,0.0,0.0,5.26,54.17,0.44,0.0,0.66,0.0,0.22,0.0,5.91,70.37,94.12,22.34,0,,0,,0,0.0,0.0,0.0,,,1.97,,2.63,0.0,0.0,0.0,0.0,0,0
Adilson Maringá,Adilson Aguero dos Santos,333302,Valletta,Valletta,https://cdn5.wyscout.com/photos/team/public/2007_120x120.png,Premier League,GK,GK,100,,0,,0,36.0,1990-08-22,250000,2027-06-30,4,411,0,0.0,0,0.0,0.88,75.0,Brazil,['Brazil'],right,194,89,False,1.31,0.22,0.0,0.44,100.0,0.0,0.0,0.0,1.31,2.25,0.22,1,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.22,0.0,7.45,0.0,0.44,14.23,78.46,9.64,68.18,0.0,0.0,8.76,92.5,5.47,56.0,32.74,49.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,25.0,0.22,100.0,0.22,100.0,0.22,0.0,3.7199999999999998,76.47,100.0,4.16,4,0.88,8,1.75,2,50.0,2.89,0.63,-1.11,-0.243,0.0,1.09,0.44,,,,0.0,0,0
Joseph Mbong,Joseph Essien Mbong,340391,Hibernians,Hibernians,https://cdn5.wyscout.com/photos/team/public/2009_120x120.png,Premier League,"RW, CF, RAMF",RW,55,CF,29,RAMF,15,29.0,1997-07-15,300000,,4,411,0,0.25,0,0.5,21.02,44.79,Nigeria,"['Nigeria', 'Malta']",right,173,73,False,5.47,5.91,55.56,3.5,25.0,0.0,0.0,0.44,2.19,2.91,1.09,0,0.0,0,0.0,1.75,0.0,0,0.0,0.05,0,0.0,2,0.44,50.0,0.0,0.0,2.85,23.08,0.44,50.0,2.41,18.18,1.09,2.41,36.36,10.07,41.3,2.63,1.53,0.22,11.17,2.19,1.75,19.93,68.13,4.82,59.09,4.38,90.0,14.67,79.1,2.41,54.55,19.17,30.75,0.11,0.88,0.0,0.0,0.22,0.0,0.44,2.19,80.0,2.41,54.55,0.22,0.0,0.66,0.88,4.16,57.89,62.07,6.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.5,0.22,0.0,0.0,0.0,0,0
Kurt Shaw,Kurt Shaw,415883,Hibernians,Hibernians,https://cdn5.wyscout.com/photos/team/public/2009_120x120.png,Premier League,"RCB, RCB3, CB",RCB,70,RCB3,17,CB,12,27.0,1999-04-01,300000,,4,411,0,0.1,0,0.0,14.45,65.15,Malta,['Malta'],both,188,79,False,7.45,6.13,64.29,5.69,69.23,0.0,0.0,1.53,3.5,4.66,0.66,0,0.0,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,4,0.88,25.0,0.0,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.0,0.22,100.0,1.75,62.5,0.88,0.22,0.0,20.8,0.22,1.09,33.94,80.0,10.51,52.08,2.85,100.0,29.12,89.47,4.6,23.81,23.91,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,14.29,1.31,16.67,0.66,0.0,0.22,0.0,4.6,52.38,94.94,17.3,0,,0,,0,0.0,0.0,0.0,,,1.75,,5.69,0.0,0.0,0.0,0.0,0,0
Leandro Lacunza,Leandro Lautaro Lacunza,444476,Hibernians,Hibernians,https://cdn5.wyscout.com/photos/team/public/2009_120x120.png,Premier League,"RB, RB5, RCB3",RB,70,RB5,17,RCB3,12,29.0,1997-07-24,25000,2027-06-30,4,411,0,0.01,0,0.06,17.08,64.1,Argentina,['Argentina'],right,176,75,False,10.51,9.64,70.45,1.75,37.5,0.44,0.58,0.22,3.2800000000000002,4.37,2.63,1,0.22,0,0.0,2.19,0.0,0,0.0,0.0,0,0.0,1,0.22,0.0,0.0,0.0,2.63,16.67,0.0,0.0,2.63,16.67,0.22,1.97,88.89,5.04,65.22,0.22,2.41,0.44,21.9,0.88,1.53,32.19,74.83,15.33,68.57,3.7199999999999998,100.0,22.55,89.32,7.01,50.0,25.52,38.61,0.01,0.66,0.0,0.22,0.0,0.0,0.0,6.35,65.52,2.19,10.0,0.44,0.0,0.0,0.22,9.64,72.73,77.5,8.76,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.75,0.0,0.0,0.0,0.0,0,0
Matteo Cardinali,Matteo Cardinali,509554,Hibernians,Hibernians,https://cdn5.wyscout.com/photos/team/public/2009_120x120.png,Premier League,GK,GK,100,,0,,0,25.0,2001-06-28,250000,,4,411,0,0.0,0,0.0,0.22,100.0,Italy,['Italy'],right,190,79,False,0.66,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.66,0.87,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88,0.22,0.0,13.36,81.97,7.23,69.7,0.0,0.0,9.42,97.67,3.94,44.44,28.6,48.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,40.0,96.3,5.91,4,0.88,20,4.38,1,80.0,3.84,0.84,-0.16,-0.035,0.0,1.97,0.22,,,,0.0,0,0
Olivier N'Zi,Yao Olivier Juslin N'Zi,-116920,Hibernians,Hibernians,https://cdn5.wyscout.com/photos/team/public/2009_120x120.png,Premier League,"LCB, LCB3",LCB,71,LCB3,28,,0,25.0,2000-12-20,175000,2027-06-30,4,400,0,0.09,0,0.01,12.15,57.41,Côte d'Ivoire,"[""Côte d'Ivoire""]",left,193,89,False,9.68,6.98,64.52,3.38,46.67,0.0,0.0,1.13,5.18,6.83,1.35,2,0.45,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.23,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.68,0.0,0.0,20.7,0.45,0.0,33.75,82.67,15.08,67.16,1.13,100.0,26.78,92.44,6.75,46.67,23.91,42.24,0.0,0.23,0.0,0.0,0.0,0.0,0.0,4.28,63.16,0.23,0.0,0.23,0.0,0.0,0.0,7.43,54.55,93.94,14.85,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.38,0.0,0.0,0.0,0.0,0,0
Bjorn Kristensen,Bjorn Kristensen,158531,Hibernians,Hibernians,https://cdn5.wyscout.com/photos/team/public/2009_120x120.png,Premier League,"DMF, LCMF, CB",DMF,55,LCMF,25,CB,18,33.0,1993-04-05,250000,,4,393,0,0.12,0,0.03,10.99,60.42,Malta,"['Malta', 'Denmark']",right,181,80,False,8.47,5.73,72.0,3.21,57.14,0.0,0.0,0.23,4.35,5.7,0.6900000000000001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,4,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,1.6,28.57,0.23,0.92,0.0,23.13,0.46,0.92,44.2,84.46,22.44,75.51,2.75,100.0,33.89,89.86,10.31,66.67,25.29,43.29,0.01,0.46,0.23,0.0,0.23,0.0,0.0,11.22,65.31,1.15,40.0,0.92,0.0,0.46,0.0,11.22,85.71,92.75,15.8,0,,0,,0,0.0,0.0,0.0,,,1.15,,3.21,0.0,0.0,0.0,0.0,0,0
D. Abela,Deacon Abela,-221416,Gzira United,Gzira United,https://cdn5.wyscout.com/photos/team/public/g14354_120x120.png,Premier League,RCB,RCB,94,,0,,0,21.0,2004-09-23,0,2028-06-30,4,392,0,0.14,0,0.0,13.09,59.65,Malta,['Malta'],,0,0,False,8.04,8.04,68.57,1.8399999999999999,37.5,0.0,0.0,0.6900000000000001,2.5300000000000002,3.11,1.15,1,0.23,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,60.0,0.23,0.6900000000000001,0.0,23.42,0.23,0.46,33.06,90.97,14.23,82.26,0.92,100.0,29.16,95.28,3.9,58.82,21.64,38.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,66.67,0.0,0.0,0.23,100.0,0.0,0.0,5.05,63.64,97.06,15.61,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0
