Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Boer,Pietro Boer,-108863,Juve Stabia,Juve Stabia,https://cdn5.wyscout.com/photos/team/public/228_120x120.png,Serie B,GK,GK,100,,0,,0,24,2002-05-12,150000,2027-06-30,2,202,0,0.0,0,0.0,0.0,0.0,Italy,['Italy'],right,193,80,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.81,0.89,0.0,25.4,80.7,10.25,69.57,0.0,0.0,20.05,93.33,5.35,33.33,27.43,49.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,14.29,0.0,0.0,0.0,0.0,0.0,0.0,4.46,40.0,88.46,11.58,2,0.89,13,5.79,0,84.62,3.58,1.5899999999999999,1.58,0.704,0.0,1.78,0.0,,,,0.0,0,0
M. Ricciardi,Manuel Ricciardi,-61501,Juve Stabia,Juve Stabia,https://cdn5.wyscout.com/photos/team/public/228_120x120.png,Serie B,RB,RB,100,,0,,0,26,2000-04-17,250000,2028-06-30,2,202,0,0.02,0,0.0,9.8,50.0,Italy,['Italy'],right,184,75,False,9.36,3.56,87.5,0.45,0.0,0.0,0.0,0.89,6.24,9.13,0.45,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.45,0.0,0.0,0.0,1.34,0.0,0.0,0.0,1.34,0.0,0.45,0.0,0.0,5.35,33.33,0.0,3.56,0.45,31.19,0.89,0.89,39.21,86.36,12.03,74.07,4.9,100.0,36.98,90.36,0.89,50.0,18.27,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,60.0,1.78,0.0,0.0,0.0,0.0,0.45,3.12,57.14,89.74,17.38,0,,0,,0,0.0,0.0,0.0,,,2.23,,0.45,0.0,0.0,0.0,0.0,0,0
D. Bettella,Davide Bettella,426562,Juve Stabia,Juve Stabia,https://cdn5.wyscout.com/photos/team/public/228_120x120.png,Serie B,RCB,RCB,100,,0,,0,26,2000-04-07,1000000,2028-06-30,2,202,0,0.22,0,0.0,4.01,66.67,Italy,['Italy'],right,185,75,False,4.9,1.78,25.0,1.78,100.0,0.0,0.0,0.0,4.46,6.52,0.45,1,0.45,0,0.0,0.45,0.0,0,0.0,0.1,0,0.0,2,0.89,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,100.0,0.89,0.45,0.0,61.04,0.0,0.45,81.98,94.02,23.17,86.54,1.78,100.0,79.31,94.94,2.67,66.67,17.07,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02,72.22,98.13,47.67,0,,0,,0,0.0,0.0,0.0,,,1.34,,1.78,0.0,0.0,0.0,0.0,0,0
M. Bellich,Marco Bellich,495134,Juve Stabia,Juve Stabia,https://cdn5.wyscout.com/photos/team/public/228_120x120.png,Serie B,LCB,LCB,100,,0,,0,27,1999-05-05,325000,2029-06-30,2,202,1,0.33,0,0.0,6.68,80.0,Italy,['Italy'],right,188,80,False,4.01,0.89,50.0,4.9,90.91,0.0,0.0,0.89,3.56,5.22,0.0,0,0.0,0,0.0,0.45,0.45,1,0.45,0.15,1,0.45,2,0.89,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1.34,1.78,0.0,68.17,0.0,0.0,79.31,89.33,19.16,67.44,2.67,100.0,74.41,92.22,4.9,45.45,19.59,41.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,55.0,96.36,49.01,0,,0,,0,0.0,0.0,0.0,,,1.78,,4.9,0.0,0.0,0.0,0.0,0,0
S. Tronchin,Simone Tronchin,-156109,Südtirol,Südtirol,https://cdn5.wyscout.com/photos/team/public/2754_120x120.png,Serie B,"LCMF, DMF",LCMF,70,DMF,25,,0,23,2002-10-17,150000,2028-06-30,2,202,0,0.04,0,0.0,11.58,42.31,Italy,['Italy'],right,185,73,False,8.02,3.56,62.5,1.78,50.0,0.0,0.0,0.45,5.79,7.96,1.78,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,2,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,4.46,30.0,0.0,0.45,0.0,29.41,0.0,1.34,44.11,82.83,10.25,60.87,12.48,100.0,40.99,86.96,3.12,28.57,13.81,33.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,60.0,1.78,25.0,0.0,0.0,0.0,0.0,3.56,25.0,73.68,8.47,0,,0,,0,0.0,0.0,0.0,,,0.89,,1.78,0.0,0.0,0.0,0.0,0,0
A. Giorgini,Andrea Giorgini,-134269,Südtirol,Südtirol,https://cdn5.wyscout.com/photos/team/public/2754_120x120.png,Serie B,CB,CB,100,,0,,0,24,2002-04-22,800000,2030-06-30,2,202,0,0.0,0,0.0,4.9,72.73,Italy,['Italy'],left,190,82,False,5.79,0.89,100.0,3.56,62.5,0.0,0.0,1.34,4.9,6.73,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,100.0,0.0,0.0,0.45,46.78,0.89,0.45,63.71,92.31,18.71,76.19,2.23,100.0,59.26,96.24,4.46,40.0,18.92,41.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,75.0,98.75,35.64,0,,0,,0,0.0,0.0,0.0,,,1.34,,3.56,0.0,0.0,0.0,0.0,0,0
R. Stivanello,Riccardo Stivanello,-133441,Südtirol,Südtirol,https://cdn5.wyscout.com/photos/team/public/2754_120x120.png,Serie B,RCB3,RCB3,100,,0,,0,22,2004-04-24,200000,2029-06-30,2,202,0,0.0,0,0.0,7.13,43.75,Italy,['Italy'],right,188,76,True,6.68,2.23,40.0,2.67,33.33,0.45,0.61,1.78,5.35,7.35,1.34,0,0.0,0,0.0,0.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,100.0,2.23,60.0,0.0,0.45,0.0,34.75,0.45,1.34,41.88,89.36,14.7,81.82,4.46,90.0,38.76,90.8,3.12,71.43,16.5,46.18,0.0,0.0,0.45,0.0,0.0,0.0,0.0,2.67,83.33,0.45,100.0,0.0,0.0,0.0,0.0,5.79,61.54,93.55,13.81,0,,0,,0,0.0,0.0,0.0,,,1.34,,2.67,0.0,0.0,0.0,0.0,0,0
S. Molina,Salvatore Andrea Molina,196066,Südtirol,Südtirol,https://cdn5.wyscout.com/photos/team/public/2754_120x120.png,Serie B,RWB,RWB,100,,0,,0,34,1992-01-01,400000,,2,202,0,0.04,0,0.08,10.69,50.0,Italy,['Italy'],right,177,74,False,6.68,4.01,44.44,1.78,25.0,0.0,0.0,0.0,4.9,6.73,0.45,0,0.0,0,0.0,1.78,0.0,0,0.0,0.02,0,0.0,1,0.45,0.0,0.0,0.0,1.34,33.33,0.0,0.0,1.34,33.33,0.0,1.78,75.0,4.01,55.56,1.34,0.45,0.0,23.17,1.34,1.34,27.62,87.1,7.13,68.75,5.79,100.0,24.5,90.91,1.78,75.0,17.8,19.02,0.04,0.45,0.0,0.0,0.0,0.0,0.45,0.89,100.0,1.34,33.33,0.0,0.0,0.45,0.45,3.56,50.0,86.96,10.25,0,,0,,0,0.0,0.0,0.0,,,1.34,,1.78,0.0,0.0,0.0,0.0,0,0
A. Plizzari,Alessandro Plizzari,440084,Südtirol,Südtirol,https://cdn5.wyscout.com/photos/team/public/2754_120x120.png,Serie B,GK,GK,100,,0,,0,26,2000-03-12,400000,2029-06-30,2,202,0,0.0,0,0.0,0.0,0.0,Italy,['Italy'],right,187,73,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,34.75,85.9,19.6,79.55,0.45,100.0,22.72,98.04,12.03,62.96,29.52,49.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,60.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14,68.0,93.33,13.37,1,0.45,8,3.56,1,87.5,1.65,0.74,0.65,0.29,0.0,3.56,0.0,,,,0.0,0,0
A. Nunziante,Alessandro Nunziante,-292660,Arezzo,Arezzo,https://cdn5.wyscout.com/photos/team/public/221_120x120.png,Serie B,GK,GK,100,,0,,0,19,2007-03-14,0,2030-06-30,2,201,0,0.0,0,0.0,0.45,100.0,Italy,['Italy'],right,194,83,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,100.0,0.0,0.0,0.0,10.3,0.9,0.45,20.15,80.0,16.57,75.68,0.9,100.0,9.4,90.48,10.75,70.83,32.04,49.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.19,68.0,100.0,2.69,4,1.79,9,4.03,0,55.56,2.91,1.3,-1.09,-0.488,0.0,3.58,0.0,,,,0.0,0,0
