Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Bediashvili,Giorgi Bediashvili,-283860,Gareji,Gareji,https://cdn5.wyscout.com/photos/team/public/g23413_120x120.png,Erovnuli Liga 2,GK,GK,100,,0,,0,21.0,2005-06-21,0,2026-12-31,17,1654,0,0.0,1,0.46,0.54,80.0,Georgia,['Georgia'],unknown,0,0,False,1.63,0.05,0.0,0.33,100.0,0.0,0.0,0.0,1.63,1.94,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,10.01,0.0,0.16,19.7,78.18,12.24,67.11,0.0,0.0,11.26,98.55,8.38,51.3,36.04,54.63,0.02,0.05,0.05,0.0,0.0,0.0,0.05,3.81,38.57,0.44,12.5,0.33,16.67,0.05,0.0,5.33,76.53,96.58,6.37,13,0.71,89,4.84,6,85.39,20.82,1.13,7.82,0.426,0.0,1.9,0.33,,,,0.0,0,0.0
G. Samadashvili,Giorgi Samadashvili,-210892,Gareji,Gareji,https://cdn5.wyscout.com/photos/team/public/g23413_120x120.png,Erovnuli Liga 2,"RCB, RCB3",RCB,88,RCB3,10,,0,24.0,2002-06-01,0,2026-12-31,17,1629,0,0.27,1,0.67,8.56,59.35,Georgia,['Georgia'],,0,0,False,6.85,3.2,65.52,3.65,51.52,0.0,0.0,0.9400000000000001,4.75,5.61,0.33,2,0.11,0,0.0,0.06,0.0,0,0.0,0.01,0,0.0,4,0.22,0.0,0.0,0.06,0.17,33.33,0.0,0.0,0.17,33.33,0.06,0.0,0.0,0.44,75.0,0.17,0.61,0.0,23.81,0.06,0.22,33.81,82.35,15.64,69.26,2.98,98.15,28.51,90.89,5.14,36.56,23.34,44.03,0.04,0.17,0.0,0.0,0.0,0.0,0.11,4.86,50.0,0.99,27.78,0.77,14.29,0.22,0.06,6.02,55.05,94.64,12.38,0,,0,,0,0.0,0.0,0.0,,,2.49,,3.65,0.06,0.0,0.0,0.0,0,0.0
D. Zurabiani,Davit Zurabiani,-79510,Gareji,Gareji,https://cdn5.wyscout.com/photos/team/public/g23413_120x120.png,Erovnuli Liga 2,"RB, RWB",RB,87,RWB,10,,0,24.0,2002-02-22,150000,2026-12-31,17,1624,0,0.36,1,1.57,18.23,51.98,Georgia,['Georgia'],right,174,68,False,8.59,7.7,61.87,2.05,51.35,0.06,0.07,0.44,3.77,4.47,1.05,0,0.0,0,0.0,2.27,0.0,0,0.0,0.02,0,0.0,5,0.28,60.0,0.0,0.06,2.27,48.78,0.0,0.0,2.11,50.0,0.11,1.77,56.25,6.32,44.74,0.8300000000000001,0.9400000000000001,0.17,16.63,1.0,1.33,25.49,75.22,8.92,59.63,5.76,93.27,18.95,85.67,4.32,43.59,23.0,39.4,0.09,0.72,0.06,0.0,0.06,0.0,0.5,4.49,50.62,3.1,53.57,0.55,20.0,0.72,1.16,6.71,72.73,78.74,7.04,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.05,0.06,0.0,0.0,0.0,0,0.0
M. Mushkudiani,Misha Mushkudiani,-652265,Gareji,Gareji,https://cdn5.wyscout.com/photos/team/public/g23413_120x120.png,Erovnuli Liga 2,"AMF, RW, LW",AMF,32,RW,16,LW,10,24.0,2001-11-03,0,2026-12-31,18,1589,2,1.57,2,3.96,18.63,41.64,Georgia,['Georgia'],,0,0,False,4.93,5.95,50.48,0.96,35.29,0.17,0.22,0.0,1.76,2.23,2.27,6,0.34,0,0.0,3.23,0.11,2,0.11,0.09,0,0.0,33,1.87,30.3,6.061,0.11,1.7000000000000002,30.0,0.62,36.36,1.08,26.32,0.23,3.62,56.25,9.8,39.88,1.08,1.7000000000000002,0.11,20.84,1.08,1.5899999999999999,26.68,76.65,7.42,61.07,7.25,93.75,21.98,84.02,3.23,49.12,19.98,37.93,0.22,1.3599999999999999,0.11,0.11,0.28,40.0,0.51,3.62,54.69,2.7199999999999998,41.67,0.91,31.25,0.85,0.4,4.19,79.73,76.15,7.36,0,,0,,0,0.0,0.0,0.0,,,0.11,,0.96,1.42,0.34,33.33,1.42,0,0.0
A. Batos,Aleksa Batos,-256580,Odishi 1919,Odishi 1919,https://cdn5.wyscout.com/photos/team/public/g23417_120x120.png,Erovnuli Liga 2,"RCB, RCB3, LCB",RCB,57,RCB3,27,LCB,11,23.0,2002-09-23,0,,16,1542,1,0.45,1,0.91,10.21,60.57,Serbia,['Serbia'],unknown,0,0,False,9.05,5.78,61.62,2.74,65.96,0.29,0.38,0.53,5.19,6.78,1.11,5,0.29,0,0.0,0.41000000000000003,0.06,1,0.06,0.03,1,0.06,6,0.35000000000000003,33.33,16.667,0.06,0.23,75.0,0.06,0.0,0.12,100.0,0.06,0.18,66.67,0.93,50.0,0.58,0.47000000000000003,0.0,26.73,0.18,0.35000000000000003,42.2,82.3,21.48,74.73,1.9300000000000002,96.97,35.43,88.96,6.54,46.43,24.59,47.48,0.05,0.18,0.0,0.0,0.0,0.0,0.12,8.0,59.12,0.41000000000000003,28.57,0.12,0.0,0.12,0.18,10.51,71.11,92.4,15.35,0,,0,,0,0.0,0.0,0.0,,,1.34,,2.74,0.0,0.0,0.0,0.0,0,0.0
A. Akondo,Aiatule Akondo,-606489,Odishi 1919,Odishi 1919,https://cdn5.wyscout.com/photos/team/public/g23417_120x120.png,Erovnuli Liga 2,"LCB, LCB3, LB",LCB,48,LCB3,27,LB,23,25.0,2000-11-07,0,2026-12-31,16,1523,0,0.98,1,0.04,18.56,64.33,Togo,['Togo'],,0,0,False,9.22,7.15,70.25,4.14,70.0,0.30000000000000004,0.39,0.24,3.9,5.09,1.42,8,0.47000000000000003,1,0.06,0.9500000000000001,0.0,0,0.0,0.06,0,0.0,6,0.35000000000000003,0.0,0.0,0.06,0.59,30.0,0.47000000000000003,25.0,0.12,50.0,0.06,0.9500000000000001,81.25,5.38,56.04,0.41000000000000003,0.47000000000000003,0.0,23.81,0.35000000000000003,2.3,38.0,83.2,17.91,77.89,3.49,98.31,33.27,90.05,4.2,35.21,19.88,37.1,0.0,0.12,0.0,0.06,0.0,0.0,0.06,4.2,61.97,0.47000000000000003,25.0,0.06,0.0,0.06,0.24,8.63,60.96,90.48,11.17,0,,0,,0,0.0,0.0,0.0,,,1.3,,4.14,0.0,0.0,0.0,0.0,0,0.0
G. Akhaladze,George Akhaladze,413963,Odishi 1919,Odishi 1919,https://cdn5.wyscout.com/photos/team/public/g23417_120x120.png,Erovnuli Liga 2,"LB, LB5, LWB",LB,45,LB5,13,LWB,12,29.0,1997-07-26,150000,2026-12-31,17,1503,2,0.8,3,1.57,15.99,54.31,Georgia,['Georgia'],left,176,71,False,8.2,5.15,63.95,3.59,73.33,0.72,0.91,0.42,4.19,5.32,1.2,1,0.06,0,0.0,1.98,0.12,2,0.12,0.05,0,0.0,21,1.26,28.57,9.524000000000001,0.18,3.17,26.42,2.81,27.66,0.36,16.67,0.30000000000000004,1.38,56.52,5.45,37.36,0.72,1.2,0.06,30.0,1.98,1.08,39.82,74.59,15.33,67.58,6.71,92.86,30.06,86.06,6.95,43.1,21.88,39.69,0.09,1.02,0.0,0.0,0.0,0.0,0.30000000000000004,6.11,61.76,3.89,27.69,0.54,33.33,0.36,0.96,10.06,73.81,73.3,11.44,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,3.59,1.5,0.12,0.0,2.4,0,0.0
I. Gulisashvili,Ilia Gulisashvili,-220427,Gareji,Gareji,https://cdn5.wyscout.com/photos/team/public/g23413_120x120.png,Erovnuli Liga 2,"LB, LCB",LB,56,LCB,33,,0,24.0,2001-09-26,0,2026-12-31,16,1447,0,0.42,2,1.34,9.08,56.85,Georgia,['Georgia'],left,187,0,False,6.28,3.92,60.32,2.18,51.43,0.81,0.9500000000000001,0.25,3.11,3.64,0.37,2,0.12,0,0.0,1.31,0.0,0,0.0,0.03,0,0.0,8,0.5,12.5,0.0,0.12,2.74,38.64,2.67,37.21,0.06,100.0,0.37,0.19,66.67,1.55,60.0,0.37,0.75,0.06,19.65,0.75,0.75,29.17,78.04,12.87,71.98,2.49,95.0,21.71,90.26,4.85,44.87,21.9,36.61,0.08,0.56,0.06,0.0,0.06,100.0,0.44,2.86,58.7,2.43,48.72,0.44,28.57,0.37,0.93,6.66,69.16,83.13,10.32,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.18,0.68,0.19,33.33,1.12,0,0.0
O. Kvernadze,Otar Kvernadze,245539,Odishi 1919,Odishi 1919,https://cdn5.wyscout.com/photos/team/public/g23417_120x120.png,Erovnuli Liga 2,CF,CF,100,,0,,0,32.0,1993-09-10,0,2026-12-31,17,1427,7,8.54,1,0.38,16.46,26.82,Georgia,['Georgia'],right,190,82,False,2.21,3.41,37.04,4.1,29.23,0.0,0.0,0.06,0.9500000000000001,1.24,2.21,3,0.19,0,0.0,2.21,0.44,5,0.32,0.54,1,0.06,42,2.65,54.76,16.667,0.06,0.5700000000000001,22.22,0.32,20.0,0.25,25.0,0.19,1.1400000000000001,55.56,5.61,24.72,3.91,0.76,0.0,14.44,1.3900000000000001,0.38,19.99,79.18,3.9699999999999998,68.25,6.75,91.59,19.11,81.19,0.32,60.0,13.94,9.42,0.02,0.5700000000000001,0.0,0.0,0.0,0.0,0.25,1.96,64.52,0.6900000000000001,27.27,0.0,0.0,0.38,0.19,1.58,84.0,69.01,4.48,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.1,0.0,0.0,0.0,0.0,2,100.0
T. Babunadze,Tamaz Babunadze,463158,Gareji,Gareji,https://cdn5.wyscout.com/photos/team/public/g23413_120x120.png,Erovnuli Liga 2,"AMF, LDMF, LCMF",AMF,38,LDMF,19,LCMF,14,26.0,2000-01-04,0,2026-12-31,17,1402,4,4.1,0,1.3599999999999999,26.58,50.97,Georgia,['Georgia'],right,182,0,False,7.57,7.19,59.82,1.9300000000000002,53.33,0.8300000000000001,0.98,0.13,2.44,2.88,2.12,2,0.13,0,0.0,3.02,0.26,2,0.13,0.26,0,0.0,36,2.31,33.33,11.111,0.0,0.32,80.0,0.19,66.67,0.13,100.0,0.0,2.89,68.89,14.44,48.89,0.58,5.58,0.45,35.18,0.71,4.69,45.0,85.73,16.56,75.58,5.97,98.92,39.54,90.1,5.14,52.5,18.94,35.76,0.09,0.8300000000000001,0.06,0.0,0.13,0.0,0.06,8.86,72.46,1.99,48.39,0.71,36.36,0.8300000000000001,0.26,8.41,82.44,92.28,15.79,0,,0,,0,0.0,0.0,0.0,,,0.32,,1.9300000000000002,2.05,0.71,36.36,1.54,2,100.0
