Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Čepić,Arsenije Čepić,-324076,Jedinstvo,Jedinstvo,https://cdn5.wyscout.com/photos/team/public/g3219_120x120.png,First League,"DMF, LDMF",DMF,55,LDMF,23,,0,22.0,2003-11-12,0,,34,3235,0,1.05,1,0.48,20.03,55.14,Montenegro,['Montenegro'],,0,0,False,10.66,7.96,67.13,2.11,50.0,0.17,0.22,0.31,5.15,6.67,1.11,4,0.11,0,0.0,1.2,0.0,0,0.0,0.03,0,0.0,21,0.58,33.33,0.0,0.03,0.19,57.14,0.06,50.0,0.14,60.0,0.0,1.2,74.42,7.37,46.79,0.42,0.86,0.03,23.7,0.14,1.22,45.77,85.35,16.19,73.37,6.18,95.05,41.01,89.15,4.59,52.73,17.51,38.74,0.01,0.45,0.03,0.0,0.0,0.0,0.11,7.71,72.56,0.92,42.42,0.19,14.29,0.22,0.11,7.18,75.58,91.2,14.86,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.11,0.0,0.0,0.0,0.0,0,0.0
A. Ćetković,Aleksa Ćetković,-157008,Arsenal Tivat,Arsenal Tivat,https://cdn5.wyscout.com/photos/team/public/g4166_120x120.png,First League,"LCMF, LCMF3, RCMF",LCMF,43,LCMF3,17,RCMF,14,22.0,2004-02-13,50000,2026-06-30,34,3216,3,2.47,3,1.09,22.33,51.25,Montenegro,['Montenegro'],right,187,78,False,9.85,8.28,63.85,5.74,49.27,0.08,0.1,0.17,4.48,5.45,1.71,2,0.06,0,0.0,0.9500000000000001,0.08,3,0.08,0.07,0,0.0,24,0.67,20.83,12.5,0.08,0.78,32.14,0.34,41.67,0.45,25.0,0.17,1.01,50.0,5.29,43.92,1.18,0.42,0.08,14.41,0.45,1.65,30.62,72.94,12.96,60.48,4.7,92.26,25.83,77.79,4.03,50.0,17.61,33.04,0.03,0.59,0.0,0.0,0.11,50.0,0.25,5.6,59.5,1.74,50.0,0.39,35.71,0.78,0.22,5.71,61.27,80.07,8.0,0,,0,,0,0.0,0.0,0.0,,,0.25,,5.74,0.0,0.0,0.0,0.0,0,0.0
M. Kordić,Marko Kordić,214363,Petrovac,Petrovac,https://cdn5.wyscout.com/photos/team/public/1996_120x120.png,First League,GK,GK,100,,0,,0,31.0,1995-02-22,175000,2027-06-30,32,3094,1,0.76,0,0.0,0.55,100.0,Montenegro,"['Montenegro', 'Serbia']",right,190,80,False,1.54,0.09,100.0,0.26,100.0,0.0,0.0,0.0,1.45,2.03,0.0,4,0.12,0,0.0,0.03,0.03,0,0.0,0.02,0,0.0,1,0.03,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.03,0.0,16.96,0.61,0.26,27.52,85.94,14.05,75.36,0.0,0.0,17.13,98.98,10.38,64.43,34.04,52.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,48.57,0.49,11.76,0.35000000000000003,25.0,0.0,0.0,7.01,81.74,97.02,12.68,31,0.9,110,3.2,8,71.82,31.04,0.9,0.04,0.001,0.0,1.25,0.26,,,,0.0,1,100.0
N. Jovicić,Nemanja  Jovicić,-92085,Jezero,Jezero,https://cdn5.wyscout.com/photos/team/public/g4191_120x120.png,First League,LCB,LCB,99,,0,,0,26.0,2000-04-13,0,2026-06-30,32,3078,0,0.22,0,0.0,13.8,62.29,Serbia,['Serbia'],left,0,0,False,10.0,5.38,71.2,4.06,61.87,0.47000000000000003,0.62,0.56,5.7,7.51,1.1400000000000001,5,0.15,0,0.0,0.26,0.0,0,0.0,0.01,0,0.0,4,0.12,0.0,0.0,0.0,0.06,50.0,0.03,0.0,0.03,100.0,0.0,0.26,88.89,1.6099999999999999,43.64,0.15,0.8200000000000001,0.03,30.88,0.18,0.44,48.45,83.89,23.6,72.37,2.7199999999999998,95.7,40.41,91.68,7.98,44.69,22.69,41.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,5.26,46.11,0.38,7.69,0.44,20.0,0.03,0.03,8.71,64.09,95.64,18.1,0,,0,,0,0.0,0.0,0.0,,,1.87,,4.06,0.0,0.0,0.0,0.0,0,0.0
A. Kaludjerović,Andrija Kaludjerović,110597,Mornar,Mornar,https://cdn5.wyscout.com/photos/team/public/1993_120x120.png,First League,"LDMF, DMF, RDMF",LDMF,40,DMF,26,RDMF,19,32.0,1993-10-29,300000,2027-06-01,32,3042,0,0.32,0,0.31,21.54,55.49,Montenegro,['Montenegro'],right,169,65,False,12.07,8.52,64.58,2.43,46.34,2.6,3.52,0.15,3.96,5.36,1.75,7,0.21,0,0.0,0.98,0.0,0,0.0,0.01,0,0.0,16,0.47000000000000003,18.75,0.0,0.0,0.33,45.45,0.12,75.0,0.18,33.33,0.0,1.04,65.71,7.1,48.75,0.03,0.56,0.0,25.5,0.12,1.63,44.41,84.68,14.73,72.89,6.66,91.11,39.76,87.13,4.35,64.63,17.43,35.28,0.01,0.27,0.03,0.03,0.06,100.0,0.12,7.34,76.21,0.86,55.17,0.30000000000000004,50.0,0.30000000000000004,0.18,7.13,68.88,92.16,15.09,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.43,0.03,0.0,0.0,0.0,0,0.0
L. Uskoković,Luka Uskoković,372967,Mladost DG,Mladost DG,https://cdn5.wyscout.com/photos/team/public/g-11012_120x120.png,First League,LCB,LCB,90,,0,,0,30.0,1996-04-10,200000,2026-06-15,33,3038,1,1.0,0,0.17,12.24,61.26,Montenegro,['Montenegro'],left,193,90,False,8.21,4.98,67.86,3.61,61.48,0.27,0.39,0.68,4.5600000000000005,6.62,1.3599999999999999,4,0.12,0,0.0,0.30000000000000004,0.03,1,0.03,0.03,0,0.0,9,0.27,44.44,11.111,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.33,54.55,1.75,47.46,0.53,1.78,0.03,30.69,0.30000000000000004,0.36,47.76,85.73,21.63,77.26,2.81,97.89,40.17,91.89,7.52,53.54,22.78,40.4,0.01,0.18,0.0,0.0,0.09,0.0,0.0,6.37,58.14,0.65,22.73,0.56,31.58,0.12,0.0,9.39,69.4,94.01,18.78,0,,0,,0,0.0,0.0,0.0,,,2.1,,3.61,0.0,0.0,0.0,0.0,0,0.0
D. Boljević,Dejan Boljević,84532,Petrovac,Petrovac,https://cdn5.wyscout.com/photos/team/public/1996_120x120.png,First League,"LB, LCB",LB,83,LCB,15,,0,36.0,1990-05-30,175000,2027-06-30,34,3005,0,0.68,2,1.9100000000000001,13.0,57.6,Montenegro,['Montenegro'],left,183,75,False,7.34,4.64,68.39,4.28,56.64,0.09,0.12,0.27,4.07,5.62,0.48,4,0.12,0,0.0,1.1400000000000001,0.0,0,0.0,0.02,0,0.0,9,0.27,33.33,0.0,0.06,2.58,26.74,2.58,26.74,0.0,0.0,0.33,0.6900000000000001,52.17,2.49,40.96,0.45,0.81,0.06,26.96,1.98,0.66,39.05,75.69,17.19,65.16,6.08,95.57,31.51,84.51,5.12,45.61,20.02,33.84,0.06,0.51,0.03,0.0,0.0,0.0,0.27,5.75,58.33,2.19,38.36,0.30000000000000004,30.0,0.18,0.6900000000000001,8.27,69.57,84.25,11.41,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,4.28,0.12,0.06,50.0,0.0,0,0.0
B. Zogović,Bojan Zogović,147876,Arsenal Tivat,Arsenal Tivat,https://cdn5.wyscout.com/photos/team/public/g4166_120x120.png,First League,GK,GK,100,,0,,0,37.0,1989-02-16,50000,2026-06-01,31,2995,0,0.0,0,0.22,0.39,76.92,Montenegro,"['Montenegro', 'Serbia']",right,189,85,False,1.23,0.0,0.0,0.24,87.5,0.0,0.0,0.0,1.23,1.51,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,60.0,0.0,0.0,0.0,7.54,0.03,0.09,15.54,75.24,10.79,65.74,0.0,0.0,6.49,97.22,9.05,59.47,39.56,51.32,0.01,0.03,0.0,0.0,0.0,0.0,0.0,3.43,50.0,0.15,20.0,0.24,50.0,0.03,0.0,6.07,79.7,96.58,4.39,37,1.11,108,3.25,10,65.74,32.2,0.97,-4.8,-0.14400000000000002,0.0,1.62,0.24,,,,0.0,0,0.0
J. Drešaj,Jonathan Drešaj,466665,Dečić,Dečić,https://cdn5.wyscout.com/photos/team/public/1992_120x120.png,First League,RB,RB,99,,0,,0,26.0,2000-03-15,500000,2027-06-30,32,2995,0,0.48,3,2.42,14.66,50.82,Montenegro,['Montenegro'],,0,0,False,8.47,7.09,64.41,1.65,30.91,0.09,0.11,0.09,3.8200000000000003,4.79,0.51,2,0.06,0,0.0,2.37,0.0,0,0.0,0.01,0,0.0,12,0.36,16.67,0.0,0.09,2.91,40.21,0.0,0.0,2.91,40.21,0.54,2.16,52.78,4.69,37.18,0.93,1.4100000000000001,0.18,19.92,1.11,0.51,31.28,76.08,10.85,66.76,5.59,93.01,24.16,84.08,4.33,54.86,19.76,34.48,0.07,0.63,0.06,0.06,0.03,0.0,0.48,3.46,60.87,2.73,50.55,0.24,25.0,0.5700000000000001,1.1400000000000001,7.39,68.7,77.27,9.92,0,,0,,0,0.0,0.0,0.0,,,1.2,,1.65,0.0,0.0,0.0,0.09,0,0.0
S. Radojevic,Stefan Radojevic,-209492,Jedinstvo,Jedinstvo,https://cdn5.wyscout.com/photos/team/public/g3219_120x120.png,First League,"RCMF, RDMF",RCMF,43,RDMF,22,,0,21.0,2005-03-04,0,2026-06-15,33,2957,3,3.24,0,1.02,19.51,49.77,Montenegro,['Montenegro'],right,0,0,True,11.2,7.88,64.48,4.8100000000000005,46.84,1.37,1.73,0.21,4.75,6.0,1.8599999999999999,6,0.18,0,0.0,0.8200000000000001,0.09,3,0.09,0.1,0,0.0,37,1.13,35.14,8.108,0.0,0.55,22.22,0.03,0.0,0.52,23.53,0.06,0.7000000000000001,39.13,3.93,32.56,1.43,0.30000000000000004,0.0,15.16,0.88,0.85,25.14,67.19,11.44,57.98,2.5,78.05,21.64,72.15,3.01,39.39,17.15,29.44,0.03,0.33,0.03,0.0,0.06,50.0,0.12,5.36,57.95,1.07,31.43,0.24,0.0,0.27,0.12,4.99,59.76,76.58,6.76,0,,0,,0,0.0,0.0,0.0,,,0.27,,4.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
