Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Kastratović,Stefan Kastratović,228443,Berane,Berane,https://cdn5.wyscout.com/photos/team/public/1995_120x120.png,Second League,GK,GK,100,,0,,0,32.0,1994-01-04,100000,,33,3167,1,1.1400000000000001,0,0.0,0.68,66.67,Montenegro,['Montenegro'],,0,0,False,2.5300000000000002,0.03,0.0,0.31,100.0,0.03,0.04,0.0,2.5,3.31,0.06,4,0.11,0,0.0,0.09,0.03,1,0.03,0.03,0,0.0,2,0.06,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.17,50.0,0.06,0.0,0.0,12.08,0.26,0.11,27.11,82.91,15.72,73.78,0.06,50.0,16.94,96.98,10.12,59.83,33.58,49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,55.91,0.09,0.0,0.28,10.0,0.0,0.0,7.62,70.9,96.74,10.46,31,0.88,146,4.15,15,78.77,42.63,1.21,11.63,0.331,0.03,1.56,0.31,,,,0.0,0,0.0
D. Jovanovic,Dejan Jovanovic,-780862,Rudar,Rudar,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,"LAMF, LW",LAMF,61,LW,20,,0,23.0,2002-10-11,0,,33,3161,10,5.98,4,3.33,24.29,43.26,Serbia,['Serbia'],unknown,0,0,False,7.72,7.03,57.89,1.28,8.89,0.09,0.11,0.0,3.56,4.64,1.22,6,0.17,0,0.0,4.24,0.28,10,0.28,0.17,0,0.0,53,1.51,47.17,18.868,0.11,2.7,25.26,2.14,25.33,0.54,21.05,0.46,5.18,54.4,13.58,38.78,2.42,2.39,0.06,16.09,2.25,1.51,25.34,63.6,8.91,51.12,4.64,84.05,20.7,71.11,2.14,38.67,18.07,31.4,0.09,0.74,0.06,0.06,0.09,33.33,0.34,3.36,50.0,2.9,35.29,0.31,9.09,0.74,0.63,4.19,68.71,60.85,6.69,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.28,0.06,0.0,0.0,0.43,1,0.0
S. Bošković,Srdjan Bošković,-69794,Berane,Berane,https://cdn5.wyscout.com/photos/team/public/1995_120x120.png,Second League,"AMF, CF, RCMF",AMF,43,CF,14,RCMF,12,29.0,1996-12-24,125000,,33,3116,10,7.4,7,6.1,14.24,45.64,Montenegro,['Montenegro'],right,0,0,False,4.91,4.88,65.09,0.98,14.71,0.09,0.12,0.03,1.65,2.2,0.81,3,0.09,0,0.0,2.22,0.29,6,0.17,0.21,0,0.0,70,2.02,40.0,14.286,0.2,0.87,26.67,0.29,20.0,0.58,30.0,0.2,1.96,52.94,6.15,36.62,1.16,1.82,0.17,28.77,1.16,0.64,38.88,74.74,14.7,61.3,6.01,93.27,32.84,81.62,5.17,39.11,19.34,39.71,0.18,1.33,0.0,0.0,0.35000000000000003,41.67,0.66,8.46,55.63,2.51,44.83,0.87,40.0,1.1,0.23,7.45,73.26,82.84,11.78,0,,0,,0,0.0,0.0,0.0,,,0.43,,0.98,0.9500000000000001,0.14,60.0,2.77,5,80.0
T. Djurovic,Tomas Djurovic,-780983,Iskra,Iskra,https://cdn5.wyscout.com/photos/team/public/g4186_120x120.png,Second League,GK,GK,100,,0,,0,18.0,2007-09-14,0,,31,3007,0,0.0,0,0.0,0.93,83.87,Montenegro,['Montenegro'],unknown,0,0,False,1.83,0.12,75.0,0.5700000000000001,89.47,0.03,0.04,0.0,1.71,2.4,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,80.0,0.0,0.0,0.0,11.58,0.15,0.24,20.29,79.35,11.31,66.14,0.0,0.0,10.77,98.89,9.49,57.41,36.12,50.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,37.78,0.27,0.0,0.12,25.0,0.0,0.0,6.26,72.73,95.59,8.14,29,0.87,95,2.84,14,69.47,28.35,0.85,-0.65,-0.019,0.0,1.8,0.5700000000000001,,,,0.0,0,0.0
B. Ljumović,Boško Ljumović,-173798,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,"LDMF, LCMF, RDMF",LDMF,37,LCMF,20,RDMF,13,23.0,2003-04-28,0,,33,2997,0,0.12,0,0.15,11.5,56.92,Montenegro,['Montenegro'],,175,62,False,9.67,5.62,64.71,1.44,50.0,0.24,0.34,0.24,5.8,8.11,0.75,4,0.12,0,0.0,0.6000000000000001,0.0,0,0.0,0.0,0,0.0,9,0.27,11.11,0.0,0.0,0.18,50.0,0.03,100.0,0.15,40.0,0.0,0.72,62.5,2.76,48.91,0.09,0.72,0.03,22.34,0.24,0.66,41.35,73.06,19.34,62.58,3.75,89.6,34.65,79.98,6.52,36.87,19.95,36.26,0.0,0.18,0.06,0.0,0.03,100.0,0.09,9.34,58.52,0.84,35.71,0.72,33.33,0.27,0.06,8.98,64.21,85.0,12.01,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.44,0.06,0.0,0.0,0.03,0,0.0
L. Pajović,Lazar Pajović,299080,Grbalj,Grbalj,https://cdn5.wyscout.com/photos/team/public/1994_120x120.png,Second League,RB,RB,78,,0,,0,30.0,1995-11-10,0,,31,2971,9,2.99,2,5.34,18.63,53.98,Montenegro,['Montenegro'],,0,0,False,9.09,5.79,63.35,3.67,57.02,0.09,0.13,0.30000000000000004,5.33,7.72,1.06,4,0.12,0,0.0,3.33,0.27,8,0.24,0.09,1,0.03,48,1.45,33.33,18.75,0.06,3.24,28.97,0.61,35.0,2.61,27.91,0.36,3.03,62.0,7.45,45.53,1.03,1.6400000000000001,0.33,22.17,1.88,0.97,35.62,69.47,16.18,61.24,5.51,91.76,24.81,80.71,7.75,50.39,23.3,39.24,0.16,1.33,0.03,0.06,0.06,50.0,0.36,7.45,58.13,3.45,36.84,0.55,38.89,0.61,0.91,9.39,71.94,72.73,10.0,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.67,1.3900000000000001,0.24,37.5,3.67,1,100.0
M. Djurdjevic,Milos Djurdjevic,-362471,Igalo,Igalo,https://cdn5.wyscout.com/photos/team/public/g19088_120x120.png,Second League,"RDMF, DMF, RCMF",RDMF,30,DMF,16,RCMF,15,23.0,2003-01-26,0,,31,2941,0,0.71,1,1.9500000000000002,21.45,54.49,Montenegro,['Montenegro'],unknown,177,0,False,10.65,8.42,71.64,1.32,44.19,1.16,1.42,0.24,3.46,4.23,1.53,9,0.28,0,0.0,1.71,0.0,0,0.0,0.02,0,0.0,22,0.67,22.73,0.0,0.03,0.43,35.71,0.12,50.0,0.28,33.33,0.12,2.2,58.33,8.51,43.53,0.28,0.8,0.09,15.36,0.21,1.44,30.27,76.04,12.09,62.78,4.1,91.04,25.71,80.95,4.13,49.63,18.9,35.75,0.06,0.37,0.03,0.0,0.15,80.0,0.21,4.93,63.98,0.9500000000000001,32.26,0.34,36.36,0.24,0.28,6.43,58.1,86.25,9.79,0,,0,,0,0.0,0.0,0.0,,,0.52,,1.32,0.0,0.0,0.0,0.0,0,0.0
A. Bokan,Andjelko Bokan,-298585,Iskra,Iskra,https://cdn5.wyscout.com/photos/team/public/g4186_120x120.png,Second League,"LB, RB",LB,77,RB,20,,0,21.0,2004-08-18,0,,31,2853,0,0.0,0,1.27,17.92,58.45,Serbia,"['Serbia', 'Montenegro']",unknown,0,0,False,10.69,7.92,67.73,3.56,53.1,0.5700000000000001,0.8,0.19,4.76,6.68,1.55,4,0.13,2,0.06,1.01,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,1.1400000000000001,30.56,0.79,32.0,0.35000000000000003,27.27,0.22,1.3900000000000001,47.73,3.88,47.15,0.28,0.35000000000000003,0.06,14.89,1.07,1.55,25.84,68.74,13.15,60.67,4.38,94.24,20.6,75.34,4.2,46.62,19.37,31.21,0.04,0.38,0.06,0.06,0.03,0.0,0.06,4.61,52.05,1.17,32.43,0.22,14.29,0.13,0.35000000000000003,6.78,66.98,69.81,5.02,0,,0,,0,0.0,0.0,0.0,,,0.19,,3.56,0.03,0.03,0.0,0.0,0,0.0
D. Bracanović,Danilo Bracanović,-85237,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,LB,LB,95,,0,,0,26.0,2000-04-09,0,,32,2840,2,0.8,2,3.71,17.75,58.93,Montenegro,['Montenegro'],left,180,73,False,11.03,7.29,67.83,3.11,59.18,1.08,1.53,0.1,5.01,7.13,0.8200000000000001,7,0.22,0,0.0,2.03,0.06,2,0.06,0.03,0,0.0,27,0.86,25.93,7.407,0.06,2.8200000000000003,25.84,2.69,25.88,0.13,25.0,0.48,1.9,55.0,5.8,49.73,0.86,1.3900000000000001,0.22,16.86,1.2,1.96,28.33,68.23,13.25,61.48,3.9,92.68,20.92,81.52,4.75,33.33,20.33,35.25,0.12,0.98,0.0,0.0,0.03,100.0,0.25,5.01,53.8,2.5700000000000003,37.04,0.32,20.0,0.41000000000000003,0.79,6.46,68.63,69.16,6.78,0,,1,,0,100.0,0.14,0.0,,,0.44,,3.11,1.2,0.22,14.29,2.0,0,0.0
H. Sakamaki,Hinata Sakamaki,-636128,Lovćen,Lovćen,https://cdn5.wyscout.com/photos/team/public/1987_120x120.png,Second League,"LW, LAMF, CF",LW,25,LAMF,25,CF,20,24.0,2001-09-16,0,,33,2803,5,5.29,1,0.51,18.91,46.69,Japan,['Japan'],,0,0,False,6.65,4.72,74.15,4.11,33.59,0.13,0.19,0.06,3.02,4.46,0.55,1,0.03,1,0.03,2.22,0.16,5,0.16,0.17,1,0.03,44,1.4100000000000001,36.36,11.364,0.03,1.73,16.67,1.38,16.28,0.35000000000000003,18.18,0.32,2.86,49.44,7.93,39.27,2.92,1.16,0.26,14.64,2.83,1.73,20.55,69.22,5.88,61.75,4.69,86.3,17.92,75.81,0.96,36.67,15.9,19.61,0.02,0.45,0.0,0.06,0.03,0.0,0.22,1.83,61.4,1.57,36.73,0.06,0.0,0.61,0.35000000000000003,3.21,66.0,62.03,5.07,0,,0,,0,0.0,0.0,0.0,,,0.06,,4.11,0.1,0.0,0.0,0.22,0,0.0
