Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Constant,Hugo Constant,-367245,,UIW Cardinals,,,GK,GK,100,,0,,0,,,0,,12,1273,0,0.0,0,0.0,1.4100000000000001,90.0,United States,['United States'],unknown,0,0,False,1.4100000000000001,0.07,100.0,0.85,83.33,0.0,0.0,0.0,1.34,1.99,0.0,2,0.14,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.14,100.0,0.0,0.0,0.0,15.2,0.21,0.42,23.47,91.87,6.5,72.83,0.0,0.0,19.65,97.84,3.8200000000000003,61.11,29.05,45.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,37.5,0.0,0.0,0.0,0.0,0.0,0.0,2.55,55.56,99.14,16.4,17,1.2,47,3.32,4,63.83,16.07,1.1400000000000001,-0.93,-0.066,0.0,1.63,0.85,,,,0.0,0,0
M. Merritt,Miles Merritt,-476459,Michigan State Spartans,UIW Cardinals,https://cdn5.wyscout.com/photos/team/public/g-2838_120x120.png,NCAA D1 Big Ten,"LDMF, RDMF",LDMF,55,RDMF,40,,0,21.0,2004-08-04,0,,12,1265,1,1.17,1,0.68,18.85,53.58,United States,['United States'],unknown,178,0,False,11.74,9.46,60.15,2.99,57.14,0.5700000000000001,0.84,0.5,5.48,8.05,0.85,1,0.07,0,0.0,0.71,0.07,1,0.07,0.08,0,0.0,10,0.71,20.0,10.0,0.07,0.21,33.33,0.07,100.0,0.14,0.0,0.07,1.0,50.0,4.62,43.08,0.21,0.5700000000000001,0.0,37.21,0.21,1.42,52.43,83.99,15.72,66.97,8.25,93.97,43.75,88.62,8.47,61.34,21.2,43.46,0.05,0.71,0.0,0.0,0.14,0.0,0.0,9.46,69.92,1.0,35.71,0.5700000000000001,37.5,0.28,0.07,9.32,66.41,90.85,22.55,0,,0,,0,0.0,0.0,0.0,,,1.42,,2.99,1.6400000000000001,0.07,0.0,0.5700000000000001,0,0
L. Neely,Luke Neely,-480207,Lindenwood Lions,Lindenwood Lions,https://cdn5.wyscout.com/photos/team/public/g-16419_120x120.png,NCAA D1 Ohio Valley,"LB, DMF",LB,55,DMF,13,,0,,,0,,12,1227,0,0.75,0,0.16,19.07,55.0,United States,['United States'],unknown,182,75,False,10.86,8.58,71.79,4.91,50.75,0.44,0.5700000000000001,0.15,4.25,5.49,0.66,0,0.0,0,0.0,0.59,0.0,0,0.0,0.05,0,0.0,5,0.37,20.0,0.0,0.0,0.73,30.0,0.66,33.33,0.07,0.0,0.0,0.66,44.44,3.3,37.78,0.44,1.1,0.22,14.96,0.59,0.51,27.58,69.95,12.54,49.12,3.96,96.3,22.3,81.91,4.55,17.74,21.88,39.34,0.01,0.29,0.07,0.0,0.0,0.0,0.0,4.99,45.59,1.6099999999999999,36.36,0.66,11.11,0.29,0.22,6.53,49.44,82.4,9.17,0,,0,,0,0.0,0.0,0.0,,,0.66,,4.91,0.0,0.0,0.0,0.0,0,0
N. Bijou,Noe Bijou,-162732,,Lindenwood Lions,,,LCB,LCB,77,,0,,0,,,0,,12,1224,0,0.15,0,0.0,11.25,70.59,France,['France'],,178,75,False,10.0,6.62,74.44,2.13,62.07,0.22,0.28,0.59,4.85,6.25,0.59,2,0.15,0,0.0,0.22,0.0,0,0.0,0.01,0,0.0,2,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.74,70.0,0.22,0.0,0.0,18.01,0.07,0.66,32.13,80.09,13.6,62.16,1.99,100.0,25.66,89.11,6.47,44.32,23.65,37.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,50.0,0.51,42.86,0.29,0.0,0.22,0.0,6.69,61.54,94.71,13.9,0,,0,,0,0.0,0.0,0.0,,,1.18,,2.13,0.0,0.0,0.0,0.0,0,0
S. Gomez,Sam  Gomez,-215154,,SIUE Cougars,,,GK,GK,100,,0,,0,,,0,,12,1188,0,0.0,0,0.0,0.68,88.89,United States,['United States'],unknown,186,82,False,1.3599999999999999,0.0,0.0,0.45,83.33,0.0,0.0,0.0,1.3599999999999999,1.8399999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,13.94,0.08,0.23,22.05,87.97,8.71,72.17,0.0,0.0,16.89,97.76,5.08,56.72,29.32,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,47.83,0.08,0.0,0.0,0.0,0.0,0.0,3.03,70.0,98.81,12.73,5,0.38,29,2.2,8,82.76,6.64,0.5,1.6400000000000001,0.124,0.0,1.82,0.45,,,,0.0,0,0
E. Gil,Enzo Gil,-477797,,Lindenwood Lions,,,GK,GK,100,,0,,0,,,0,,12,1171,0,0.0,0,0.01,0.54,71.43,Brazil,['Brazil'],unknown,182,83,False,1.6099999999999999,0.0,0.0,0.38,100.0,0.0,0.0,0.0,1.6099999999999999,2.07,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.08,0.08,17.91,82.83,8.99,66.67,0.0,0.0,11.3,98.64,6.61,55.81,32.98,47.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,1.69,36.36,0.15,0.0,0.08,0.0,0.0,0.0,4.3,71.43,99.07,8.3,13,1.0,44,3.38,3,70.45,11.7,0.9,-1.3,-0.1,0.0,1.0,0.38,,,,0.0,0,0
D. Navarijo,Dylan Navarijo,-277718,,UIW Cardinals,,,LB,LB,82,,0,,0,,,0,,11,1140,0,0.1,1,0.68,16.89,49.53,United States,['United States'],unknown,168,65,False,6.63,6.24,55.7,1.26,50.0,0.39,0.58,0.0,2.76,4.05,0.39,2,0.16,0,0.0,3.0,0.0,0,0.0,0.01,0,0.0,4,0.32,50.0,0.0,0.08,1.18,40.0,1.18,40.0,0.0,0.0,0.39,4.03,58.82,8.13,48.54,0.9500000000000001,4.11,2.21,22.18,0.79,1.26,31.82,83.13,14.37,80.77,4.18,92.45,29.37,86.29,1.26,50.0,16.06,30.75,0.05,0.71,0.0,0.0,0.24,0.0,0.24,4.89,80.65,1.5,47.37,0.32,0.0,0.55,0.47000000000000003,6.08,75.32,84.47,8.13,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.26,0.0,0.0,0.0,0.0,0,0
L. Fontana,Lucas Fontana,-232744,,Chicago State Cougars,,,GK,GK,100,,0,,0,24.0,2001-11-01,0,,11,1139,0,0.01,0,0.0,0.71,77.78,United States,['United States'],,178,79,False,2.45,0.16,50.0,0.32,100.0,0.0,0.0,0.0,2.37,3.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,12.8,0.08,0.16,23.47,83.16,11.85,72.0,0.0,0.0,13.2,98.8,10.27,63.08,34.63,48.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,71.79,0.08,0.0,0.0,0.0,0.0,0.0,6.72,78.82,95.04,11.14,20,1.58,52,4.11,4,61.54,17.49,1.38,-2.51,-0.198,0.0,1.58,0.32,,,,0.0,0,0
W. Harris,Will  Harris,-352593,,SIUE Cougars,,,LCB,LCB,100,,0,,0,,,0,,12,1137,0,0.37,1,0.63,8.71,56.36,England,['England'],unknown,193,82,False,4.59,2.22,67.86,2.85,52.78,0.24,0.32,0.32,2.85,3.84,0.4,1,0.08,0,0.0,1.03,0.0,0,0.0,0.03,0,0.0,8,0.63,50.0,0.0,0.08,0.16,50.0,0.08,0.0,0.08,100.0,0.0,0.71,77.78,1.74,54.55,0.47000000000000003,1.5,0.16,47.49,0.4,0.63,62.22,85.62,28.1,72.39,1.6600000000000001,90.48,50.18,94.32,11.95,49.01,25.35,43.53,0.05,0.16,0.0,0.0,0.24,33.33,0.08,12.43,61.15,1.6600000000000001,38.1,1.03,7.69,0.63,0.08,13.38,82.84,97.86,29.6,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.85,0.32,0.32,75.0,0.0,0,0
W. Gibson,Wes Gibson,-215142,SIUE Cougars,SIUE Cougars,https://cdn5.wyscout.com/photos/team/public/g-2979_120x120.png,NCAA D1 Ohio Valley,RCB,RCB,100,,0,,0,,,0,,12,1132,0,0.0,0,0.36,7.31,58.7,United States,['United States'],unknown,186,82,False,5.09,2.54,68.75,1.43,72.22,0.56,0.74,0.32,2.7800000000000002,3.71,0.32,2,0.16,0,0.0,0.48,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.32,25.0,0.16,0.0,0.16,50.0,0.08,0.4,60.0,1.35,41.18,0.24,1.19,0.0,48.42,0.32,0.24,66.78,90.0,26.87,79.88,3.34,100.0,58.36,95.91,8.11,50.0,23.97,42.21,0.03,0.4,0.0,0.0,0.16,100.0,0.08,11.13,71.43,0.64,25.0,0.48,33.33,0.08,0.08,13.2,86.75,97.16,33.63,0,,0,,0,0.0,0.0,0.0,,,2.39,,1.43,0.0,0.0,0.0,0.0,0,0
