Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Keita Kosugi,Keita Kosugi,-454369,Eintracht Frankfurt,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,Bundesliga,"LB, RCMF3",LB,89,RCMF3,10,,0,20,2006-03-18,0,2031-06-30,1,103,0,0.0,0,0.0,20.97,62.5,Japan,['Japan'],left,172,64,False,14.85,8.74,80.0,2.62,33.33,0.0,0.0,0.87,7.86,12.27,0.0,0,0.0,0,0.0,0.87,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,0.0,0.0,0.0,1.75,0.87,100.0,4.37,60.0,1.75,0.0,0.0,19.22,0.87,1.75,23.59,66.67,8.74,60.0,6.12,85.71,20.97,70.83,0.87,100.0,13.1,38.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,40.0,50.0,5.24,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.62,0.0,0.0,0.0,0.0,0,0
Elias Baum,Elias Niklas  Baum,-277426,Eintracht Frankfurt,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,Bundesliga,"RB, RW",RB,89,RW,10,,0,20,2005-10-26,1000000,2028-06-30,1,103,0,0.11,0,0.35000000000000003,19.22,36.36,Germany,['Germany'],right,180,75,False,10.49,6.99,37.5,5.24,33.33,0.0,0.0,0.87,7.86,12.27,2.62,0,0.0,0,0.0,0.87,0.0,0,0.0,0.1,0,0.0,2,1.75,0.0,0.0,0.0,4.37,0.0,0.0,0.0,4.37,0.0,0.87,1.75,50.0,4.37,20.0,4.37,4.37,0.0,28.83,1.75,0.0,36.7,76.19,12.23,78.57,10.49,100.0,30.58,91.43,1.75,0.0,15.09,23.23,0.30000000000000004,0.87,0.0,0.0,0.0,0.0,0.87,1.75,50.0,4.37,40.0,0.0,0.0,1.75,0.0,3.5,25.0,60.0,8.74,0,,0,,0,0.0,0.0,0.0,,,0.87,,5.24,0.0,0.0,0.0,0.0,0,0
T. Rothe,Tom Rothe,-200489,Union Berlin,Union Berlin,https://cdn5.wyscout.com/photos/team/public/1129_120x120.png,Bundesliga,LB,LB,100,,0,,0,21,2004-10-29,8000000,,1,103,0,0.06,0,0.12,16.6,63.16,Germany,['Germany'],left,193,88,False,8.74,6.99,50.0,4.37,80.0,0.87,1.3,0.87,4.37,6.52,0.0,0,0.0,0,0.0,2.62,0.0,0,0.0,0.05,0,0.0,2,1.75,50.0,0.0,0.0,5.24,33.33,5.24,33.33,0.0,0.0,0.87,0.0,0.0,4.37,60.0,1.75,0.0,1.75,24.47,1.75,0.87,34.08,69.23,11.36,76.92,6.99,100.0,26.21,76.67,3.5,50.0,21.81,39.24,0.11,0.87,0.0,0.0,0.0,0.0,0.0,6.12,85.71,4.37,60.0,0.0,0.0,0.87,2.62,13.11,80.0,54.55,9.61,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.37,0.0,0.0,0.0,0.0,0,0
Farès Chaïbi,Farès Chaïbi,-170354,Eintracht Frankfurt,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,Bundesliga,"RCMF, LW",RCMF,89,LW,10,,0,23,2002-11-28,0,2028-06-30,1,103,0,0.06,0,0.07,10.49,41.67,France,"['France', 'Algeria']",right,183,79,False,3.5,2.62,33.33,3.5,25.0,0.0,0.0,0.0,2.62,4.09,0.0,0,0.0,0,0.0,0.87,0.0,0,0.0,0.05,0,0.0,2,1.75,0.0,0.0,0.0,2.62,0.0,0.0,0.0,2.62,0.0,1.75,0.87,100.0,3.5,75.0,2.62,1.75,0.0,30.58,0.0,0.87,39.32,80.0,15.73,77.78,6.12,100.0,31.46,91.67,5.24,50.0,19.49,29.81,0.06,0.87,0.0,0.0,0.0,0.0,0.87,3.5,100.0,3.5,50.0,0.0,0.0,2.62,0.87,6.99,50.0,66.67,10.49,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.5,0.87,0.0,0.0,1.75,0,0
Z. Van den Bosch,Zeno Van den Bosch,-168029,Union Berlin,Union Berlin,https://cdn5.wyscout.com/photos/team/public/1129_120x120.png,Bundesliga,LCB,LCB,100,,0,,0,23,2003-07-06,6000000,,1,103,0,0.0,0,0.17,15.73,72.22,Belgium,['Belgium'],right,191,78,False,11.36,6.12,57.14,5.24,100.0,0.87,1.3,0.0,6.99,10.43,1.75,1,0.87,0,0.0,0.87,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.87,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,26.21,0.0,0.87,38.45,93.18,13.11,80.0,0.87,100.0,32.33,97.3,5.24,66.67,22.89,41.18,0.15,0.87,0.0,0.0,0.0,0.0,0.87,4.37,100.0,0.87,100.0,0.0,0.0,0.87,0.87,6.99,75.0,100.0,20.1,0,,0,,0,0.0,0.0,0.0,,,0.87,,5.24,0.0,0.0,0.0,0.0,0,0
Raphael Onyedika,Raphael Onyedika,-136363,Eintracht Frankfurt,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,Bundesliga,"LCMF, DMF",LCMF,89,DMF,10,,0,25,2001-04-19,10000000,2031-06-30,1,103,0,0.0,0,0.0,11.36,38.46,Nigeria,['Nigeria'],right,184,78,False,7.86,6.12,57.14,0.87,0.0,0.0,0.0,0.87,4.37,6.82,0.87,1,0.87,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.87,15.73,0.87,0.0,30.58,80.0,13.11,60.0,3.5,75.0,28.83,81.82,1.75,50.0,16.14,33.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,100.0,100.0,9.61,0,,0,,0,0.0,0.0,0.0,,,0.87,,0.87,0.0,0.0,0.0,0.0,0,0
N. Atubolu,Noah Atubolu,-62079,Eintracht Frankfurt,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,Bundesliga,GK,GK,100,,0,,0,24,2002-05-25,10000000,2028-06-30,1,103,0,0.0,0,0.0,0.87,100.0,Germany,"['Germany', 'Nigeria']",right,190,99,True,0.0,0.0,0.0,0.87,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.97,0.87,0.87,33.2,86.84,18.35,76.19,0.0,0.0,16.6,100.0,16.6,73.68,38.97,53.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,25.0,0.87,0.0,0.0,0.0,0.0,0.0,11.36,92.31,100.0,14.85,3,2.62,11,9.61,0,72.73,3.45,3.01,0.45,0.393,0.0,1.75,0.87,,,,0.0,0,0
R. Khedira,Rani Khedira,193531,Union Berlin,Union Berlin,https://cdn5.wyscout.com/photos/team/public/1129_120x120.png,Bundesliga,"AMF, RCMF3",AMF,81,RCMF3,18,,0,32,1994-01-27,5000000,,1,103,0,0.0,0,0.13,10.49,58.33,Germany,"['Germany', 'Tunisia']",right,189,88,False,10.49,4.37,60.0,1.75,50.0,0.0,0.0,0.0,7.86,11.74,0.87,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,60.0,0.87,0.0,0.0,13.11,0.0,0.0,19.22,81.82,6.99,75.0,2.62,100.0,18.35,85.71,0.87,0.0,14.18,17.74,0.11,0.87,0.0,0.0,0.0,0.0,0.0,2.62,66.67,0.87,100.0,0.0,0.0,0.87,0.0,3.5,50.0,83.33,5.24,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.75,0.0,0.0,0.0,0.0,0,0
Robin Koch,Robin Koch,354199,Eintracht Frankfurt,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,Bundesliga,"RCB, CB",RCB,89,CB,10,,0,30,1996-07-17,18000000,2030-06-30,1,103,0,0.0,0,0.0,13.11,86.67,Germany,['Germany'],right,192,83,False,8.74,2.62,66.67,8.74,90.0,0.0,0.0,0.0,6.99,10.91,0.87,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.87,0.0,25.34,0.0,0.0,46.31,94.34,20.1,86.96,2.62,100.0,42.82,95.92,3.5,75.0,21.3,43.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,100.0,0.87,100.0,0.0,0.0,0.87,0.0,6.12,85.71,100.0,20.1,0,,0,,0,0.0,0.0,0.0,,,2.62,,8.74,0.0,0.0,0.0,0.0,0,0
J. Juranović,Josip Juranović,396624,Union Berlin,Union Berlin,https://cdn5.wyscout.com/photos/team/public/1129_120x120.png,Bundesliga,RB,RB,100,,0,,0,31,1995-08-16,7500000,2027-06-30,1,103,0,0.08,2,0.46,12.23,71.43,Croatia,['Croatia'],right,173,68,False,13.98,8.74,80.0,0.87,100.0,0.0,0.0,0.0,6.99,10.43,0.0,0,0.0,0,0.0,4.37,0.0,0,0.0,0.07,0,0.0,1,0.87,100.0,0.0,1.75,5.24,66.67,0.87,100.0,4.37,60.0,0.0,0.0,0.0,0.87,0.0,0.0,0.87,0.0,18.35,2.62,0.0,32.33,62.16,16.6,52.63,2.62,100.0,21.84,64.0,6.12,57.14,20.25,32.01,0.4,5.24,0.0,0.0,0.0,0.0,0.87,3.5,50.0,6.99,62.5,0.0,0.0,0.87,3.5,9.61,72.73,63.64,9.61,0,,0,,0,0.0,0.0,0.0,,,0.87,,0.87,1.75,0.0,0.0,4.37,0,0
