Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Fuoli,Diego Licinio Lázaro Fuoli,499775,Sabadell,Sabadell,https://cdn5.wyscout.com/photos/team/public/2516_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,28.0,1997-10-20,200000,2027-06-30,37,3825,0,0.01,1,0.44,0.4,94.12,Spain,['Spain'],right,188,79,False,1.32,0.0,0.0,0.26,90.91,0.0,0.0,0.0,1.32,2.0,0.0,4,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.02,0.0,14.05,0.19,0.21,20.47,77.01,13.34,66.31,0.02,100.0,10.24,97.47,10.16,56.94,38.57,56.25,0.01,0.02,0.0,0.0,0.0,0.0,0.02,5.55,49.58,0.49,19.05,0.35000000000000003,26.67,0.12,0.0,6.66,78.09,97.53,6.66,29,0.68,145,3.41,20,80.0,36.46,0.86,7.46,0.176,0.0,0.99,0.26,,,,0.0,0,0.0
J. Babin,Jean-Sylvain  Babin,59956,Real Avilés,Real Avilés,https://cdn5.wyscout.com/photos/team/public/g2076_120x120.png,Primera Division RFEF,"RCB, LCB, CB",RCB,45,LCB,38,CB,16,39.0,1986-10-14,200000,2026-06-30,37,3765,2,2.16,1,0.64,9.56,67.25,France,"['France', 'Martinique']",right,182,84,False,7.55,3.68,81.17,3.51,60.54,0.12,0.17,0.67,4.45,6.33,0.22,3,0.07,0,0.0,0.14,0.05,2,0.05,0.05,0,0.0,13,0.31,15.38,15.385,0.02,0.19,50.0,0.05,50.0,0.1,50.0,0.02,0.02,0.0,0.38,31.25,0.62,0.36,0.0,18.86,0.19,0.31,30.81,83.01,13.67,70.28,2.22,96.77,24.84,90.76,5.78,50.83,21.84,37.24,0.02,0.07,0.0,0.02,0.0,0.0,0.07,3.71,54.19,0.5,33.33,0.19,50.0,0.19,0.07,6.0,62.95,94.46,12.07,0,,0,,0,0.0,0.0,0.0,,,1.82,,3.51,0.0,0.0,0.0,0.02,0,0.0
Fermín Sobrón,Fermín Sobrón Olarte,251286,Zamora,Zamora,https://cdn5.wyscout.com/photos/team/public/2711_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,30.0,1995-11-15,200000,2026-06-30,37,3735,0,0.0,0,0.0,0.72,96.67,Spain,['Spain'],right,177,63,False,2.05,0.05,100.0,0.41000000000000003,94.12,0.0,0.0,0.02,2.0,2.95,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.02,0.0,0.0,18.8,0.19,0.31,26.82,82.12,16.1,71.41,0.02,100.0,14.14,97.96,12.63,64.69,36.93,53.42,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.9,58.78,0.39,12.5,0.58,41.67,0.05,0.0,9.25,79.43,98.29,9.88,42,1.01,117,2.8200000000000003,14,64.1,39.01,0.9400000000000001,-2.99,-0.07200000000000001,0.0,1.76,0.41000000000000003,,,,0.0,0,0.0
Arthur Bonaldo,Arthur Renan Bonaldo,473296,Sabadell,Sabadell,https://cdn5.wyscout.com/photos/team/public/2516_120x120.png,Primera Division RFEF,"RCB3, RCB",RCB3,37,RCB,34,,0,30.0,1996-02-18,200000,2026-06-30,37,3729,3,3.03,3,0.6000000000000001,15.71,59.29,Brazil,"['Brazil', 'Italy']",right,181,73,False,8.93,4.15,68.6,8.04,60.66,0.36,0.55,0.72,5.72,8.67,0.99,6,0.14,0,0.0,0.31,0.07,3,0.07,0.07,3,0.07,23,0.56,47.83,13.043,0.07,0.02,100.0,0.0,0.0,0.02,100.0,0.0,0.12,20.0,0.99,51.22,0.8200000000000001,0.43,0.05,22.93,0.29,0.41000000000000003,37.96,85.76,16.22,75.3,3.38,96.43,34.71,88.66,3.26,54.81,19.12,36.46,0.01,0.1,0.02,0.0,0.0,0.0,0.05,2.99,58.87,0.29,50.0,0.22,22.22,0.22,0.02,6.23,60.08,93.97,14.41,0,,0,,0,0.0,0.0,0.0,,,2.68,,8.04,0.0,0.0,0.0,0.0,0,0.0
A. Csenterics,Adrián Dany Hammad Csenterics,-272166,Mérida AD,Mérida AD,https://cdn5.wyscout.com/photos/team/public/g30539_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,21.0,2004-10-08,0,,36,3715,0,0.0,0,0.04,0.53,81.82,Hungary,['Hungary'],right,196,0,True,1.55,0.12,80.0,0.24,80.0,0.02,0.04,0.0,1.43,2.18,0.02,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,11.36,0.02,0.1,17.32,83.64,11.05,76.32,0.0,0.0,10.1,98.08,7.15,63.73,33.84,50.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,3.46,60.14,0.29,8.33,0.15,33.33,0.05,0.0,5.5,79.74,96.71,5.89,51,1.24,135,3.27,10,62.22,46.81,1.13,-4.19,-0.10200000000000001,0.0,1.38,0.24,,,,0.0,0,0.0
Coke Carrillo,Jorge Carrillo Balea,-81614,Celta Fortuna,Celta Fortuna,https://cdn5.wyscout.com/photos/team/public/2701_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,24.0,2002-01-07,200000,2029-06-30,36,3683,0,0.0,0,0.0,0.98,90.0,Spain,['Spain'],right,188,75,False,2.42,0.1,25.0,0.61,100.0,0.07,0.12,0.0,2.32,3.93,0.02,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,0.0,0.0,10.21,0.27,0.2,19.62,85.68,9.68,73.99,0.02,100.0,14.59,97.15,4.99,52.94,27.28,47.45,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.78,46.58,0.27,18.18,0.2,37.5,0.05,0.0,4.11,61.9,97.04,8.26,42,1.03,166,4.06,10,74.7,47.23,1.15,5.23,0.128,0.02,1.76,0.61,,,,0.0,0,0.0
Jordi Cano,Jordi Cano Jiménez,-107871,Europa,Europa,https://cdn5.wyscout.com/photos/team/public/g9476_120x120.png,Primera Division RFEF,"CF, LW",CF,54,LW,18,,0,31.0,1995-04-01,200000,2026-06-30,37,3643,21,17.17,4,3.67,8.82,39.94,Spain,['Spain'],left,170,72,False,2.38,1.75,66.67,1.11,13.64,0.03,0.04,0.05,1.19,1.82,0.38,7,0.17,0,0.0,2.81,0.52,16,0.41000000000000003,0.43,2,0.05,110,2.79,40.0,19.091,0.1,1.9,25.33,1.06,19.05,0.76,36.67,0.13,2.05,58.02,4.51,41.01,3.5700000000000003,1.24,0.25,10.13,2.13,0.61,12.44,68.84,2.51,58.59,3.17,88.0,10.01,78.23,0.58,43.48,17.36,18.24,0.09,0.76,0.0,0.03,0.05,50.0,0.46,0.56,63.64,1.47,50.0,0.15,66.67,0.68,0.53,1.67,65.15,63.91,3.37,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.11,0.30000000000000004,0.1,50.0,0.61,7,71.429
Oscar Carrasco,Oscar Carrasco Sojo,-256893,Tarazona,Tarazona,https://cdn5.wyscout.com/photos/team/public/g16798_120x120.png,Primera Division RFEF,"DMF, RCMF",DMF,49,RCMF,26,,0,23.0,2002-08-28,0,2027-06-30,37,3628,1,1.57,2,0.9400000000000001,16.65,57.23,Spain,['Spain'],,0,0,True,9.4,7.17,65.74,3.5,50.35,0.47000000000000003,0.62,0.32,4.22,5.55,1.4100000000000001,8,0.2,0,0.0,0.45,0.02,1,0.02,0.04,1,0.02,24,0.6000000000000001,25.0,4.167,0.05,0.37,33.33,0.05,0.0,0.27,36.36,0.07,0.35000000000000003,42.86,3.15,53.54,0.64,0.45,0.0,10.57,0.15,1.3900000000000001,25.77,74.11,10.77,59.22,3.32,93.28,21.14,79.23,4.29,52.6,20.09,37.17,0.02,0.30000000000000004,0.0,0.0,0.02,100.0,0.17,5.31,56.54,0.74,33.33,0.42,41.18,0.35000000000000003,0.1,4.94,66.83,83.59,8.16,0,,0,,0,0.0,0.0,0.0,,,0.64,,3.5,0.0,0.0,0.0,0.0,0,0.0
Antonio Montoro,Antonio Montoro Rodríguez,335227,Pontevedra,Pontevedra,https://cdn5.wyscout.com/photos/team/public/2554_120x120.png,Primera Division RFEF,"RCB, LCB, CB",RCB,26,LCB,24,CB,19,29.0,1997-05-10,250000,2026-06-30,36,3619,0,0.58,0,0.13,9.4,58.47,Spain,['Spain'],right,182,75,False,5.65,3.03,68.85,3.38,61.03,0.15,0.22,0.77,3.41,5.07,0.62,5,0.12,1,0.02,0.2,0.0,0,0.0,0.01,0,0.0,11,0.27,36.36,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.02,0.25,40.0,1.07,46.51,0.37,1.1400000000000001,0.15,21.69,0.2,0.37,33.75,84.6,14.57,72.7,2.39,96.88,28.08,91.76,5.62,49.56,22.02,41.07,0.0,0.02,0.0,0.0,0.0,0.0,0.02,4.55,66.12,0.30000000000000004,25.0,0.17,28.57,0.12,0.0,6.02,70.25,95.03,13.5,0,,0,,0,0.0,0.0,0.0,,,1.42,,3.38,0.0,0.0,0.0,0.0,0,0.0
F. Smand,Floris Smand,-358001,Eldense,Eldense,https://cdn5.wyscout.com/photos/team/public/g7071_120x120.png,Primera Division RFEF,"LCB, RCB, RCB3",LCB,73,RCB,12,RCB3,11,23.0,2003-01-20,0,2028-06-30,36,3617,1,0.47000000000000003,0,0.03,9.88,64.74,Netherlands,['Netherlands'],right,185,77,False,6.69,3.93,74.68,3.11,57.6,0.12,0.19,0.42,3.63,5.52,0.77,3,0.07,0,0.0,0.2,0.02,1,0.02,0.01,0,0.0,5,0.12,40.0,20.0,0.0,0.05,0.0,0.02,0.0,0.02,0.0,0.02,0.17,85.71,1.12,57.78,0.32,1.05,0.02,29.91,0.15,0.5,41.63,92.35,16.2,88.33,2.66,95.33,39.44,94.83,2.14,48.84,17.69,33.93,0.0,0.02,0.05,0.0,0.0,0.0,0.0,3.2800000000000002,80.3,0.15,16.67,0.05,50.0,0.05,0.0,4.18,66.07,95.69,16.75,0,,0,,0,0.0,0.0,0.0,,,1.42,,3.11,0.0,0.0,0.0,0.0,0,0.0
