Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Lucas Lima,Lucas Pedro Alves De Lima,79757,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,LB,LB,100,,0,,0,34,1991-10-10,1000000,2028-06-30,5,500,0,0.03,0,0.46,9.18,66.67,Brazil,['Brazil'],left,179,76,False,4.68,3.7800000000000002,52.38,1.98,72.73,0.36,0.63,0.0,2.34,4.06,0.9,2,0.36,0,0.0,1.26,0.0,0,0.0,0.01,0,0.0,3,0.54,33.33,0.0,0.0,1.8,40.0,1.8,40.0,0.0,0.0,0.18,0.54,66.67,2.52,78.57,0.72,0.54,0.18,39.6,2.52,1.8,51.3,81.05,25.74,74.13,5.22,96.55,41.04,87.72,8.64,58.33,21.19,45.72,0.08,0.54,0.0,0.0,0.0,0.0,0.54,6.84,63.16,2.88,37.5,0.18,0.0,0.54,0.36,9.18,76.47,85.54,14.94,0,,0,,0,0.0,0.0,0.0,,,0.72,,1.98,1.62,0.18,0.0,0.54,0,0
A. Alkan,Akın Alkan,276079,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,GK,GK,100,,0,,0,37,1989-07-26,50000,2027-06-30,5,500,0,0.0,0,0.0,0.18,100.0,Türkiye,['Türkiye'],right,186,79,False,0.54,0.18,100.0,0.0,0.0,0.0,0.0,0.0,0.36,0.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82,0.0,0.0,24.12,83.58,11.16,66.13,0.0,0.0,16.02,98.88,8.1,53.33,31.2,47.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,12.5,0.0,0.0,0.0,0.0,0.0,0.0,5.76,62.5,98.59,12.78,3,0.54,19,3.42,2,84.21,6.21,1.12,3.21,0.578,0.0,1.26,0.0,,,,0.0,0,0
A. Ülgen,Ali Ülgen,420250,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,RB,RB,100,,0,,0,26,1999-11-10,300000,2027-06-30,5,500,0,0.02,0,0.73,10.8,46.67,Türkiye,['Türkiye'],right,176,67,False,4.86,5.04,39.29,1.08,33.33,0.18,0.31,0.36,2.7,4.69,0.72,2,0.36,0,0.0,1.98,0.0,0,0.0,0.0,0,0.0,2,0.36,100.0,0.0,0.0,3.06,35.29,0.18,100.0,2.88,31.25,0.18,0.9,60.0,3.42,47.37,0.36,2.34,0.18,35.46,2.52,0.72,43.92,84.02,14.94,73.49,9.36,100.0,38.52,90.65,2.52,35.71,18.04,31.12,0.13,1.44,0.0,0.0,0.0,0.0,0.72,5.4,56.67,3.96,36.36,0.0,0.0,0.54,1.08,5.76,81.25,81.69,12.78,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.08,0.54,0.0,0.0,1.26,0,0
D. Lico,Dean Lico,467646,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,"DMF, LCMF, RCMF3",DMF,38,LCMF,24,RCMF3,19,26,2000-02-08,500000,2028-06-30,5,500,0,0.4,0,0.0,14.76,48.78,Albania,['Albania'],left,189,84,False,4.86,4.5,40.0,3.96,50.0,0.36,0.63,0.0,2.7,4.69,1.98,2,0.36,0,0.0,0.72,0.0,0,0.0,0.07,0,0.0,7,1.26,14.29,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.54,100.0,5.22,62.07,0.72,0.0,0.0,34.2,0.54,1.8,50.4,87.5,11.7,67.69,9.72,96.3,45.18,94.02,5.22,31.03,18.87,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,48.28,0.54,0.0,0.0,0.0,0.0,0.18,3.6,75.0,90.6,21.06,0,,0,,0,0.0,0.0,0.0,,,0.9,,3.96,0.0,0.0,0.0,0.0,0,0
Y. Kocatürk,Yusuf Kocatürk,-275057,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,"RCB, LCB",RCB,79,LCB,20,,0,22,2004-07-27,0,2028-06-30,5,494,0,0.41000000000000003,0,0.0,7.29,65.0,Türkiye,['Türkiye'],left,0,0,False,4.92,2.55,57.14,3.46,57.89,0.0,0.0,0.55,3.46,6.0,1.28,1,0.18,0,0.0,0.0,0.0,0,0.0,0.07,0,0.0,2,0.36,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.18,100.0,0.36,0.55,0.0,50.65,0.73,0.36,65.77,90.03,24.41,80.6,3.1,100.0,61.94,92.35,3.83,52.38,21.55,44.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,62.5,0.55,0.0,0.0,0.0,0.0,0.18,9.66,64.15,95.68,33.7,0,,0,,0,0.0,0.0,0.0,,,2.73,,3.46,0.0,0.0,0.0,0.0,0,0
G. Değirmenci,Gökhan Değirmenci,67938,Kayserispor,Kayserispor,https://cdn5.wyscout.com/photos/team/public/819_120x120.png,1. Lig,GK,GK,100,,0,,0,37,1989-03-21,25000,,5,490,0,0.0,0,0.0,0.0,0.0,Türkiye,['Türkiye'],right,184,83,False,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.24,0.0,1,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.73,0.0,29.2,83.02,14.33,66.67,0.18,100.0,19.84,100.0,9.18,48.0,30.85,42.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,30.77,0.18,0.0,0.0,0.0,0.18,0.0,6.43,62.86,98.59,13.04,3,0.55,16,2.94,3,81.25,3.56,0.65,0.56,0.10300000000000001,0.0,0.73,0.0,,,,0.0,0,0
J. Tabidze,Jemal Tabidze,275751,,Kayserispor,,,LCB,LCB,100,,0,,0,30,1996-03-18,500000,,5,490,0,1.08,0,0.38,7.71,66.67,Georgia,['Georgia'],left,187,77,False,5.51,2.76,53.33,3.49,68.42,0.0,0.0,0.73,4.04,5.28,0.92,2,0.37,0,0.0,0.0,0.0,0,0.0,0.2,0,0.0,6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,75.0,1.29,0.37,0.18,55.1,0.92,0.18,65.94,93.59,23.69,85.27,3.49,100.0,62.45,96.76,3.49,36.84,20.7,44.73,0.07,0.55,0.0,0.0,0.0,0.0,0.0,7.9,81.4,0.37,0.0,0.0,0.0,0.18,0.0,7.71,73.81,98.82,31.04,0,,0,,0,0.0,0.0,0.0,,,2.76,,3.49,0.0,0.0,0.0,0.0,0,0
S. Kurt,Sinan Kurt,355707,Kayserispor,Kayserispor,https://cdn5.wyscout.com/photos/team/public/819_120x120.png,1. Lig,"LDMF, LCMF, DMF",LDMF,47,LCMF,20,DMF,19,31,1995-03-02,600000,,5,490,0,0.22,1,0.36,10.29,66.07,Germany,"['Germany', 'Türkiye']",right,175,72,False,9.55,4.41,79.17,1.47,50.0,0.18,0.24,0.55,5.88,7.68,0.37,0,0.0,0,0.0,1.47,0.0,0,0.0,0.04,0,0.0,2,0.37,0.0,0.0,0.18,0.37,50.0,0.18,100.0,0.18,0.0,0.0,1.47,62.5,4.04,63.64,0.18,0.73,0.0,40.22,0.37,1.47,50.33,90.88,17.27,81.91,5.88,100.0,47.39,91.86,2.5700000000000003,78.57,17.68,37.27,0.07,0.55,0.0,0.0,0.37,100.0,0.55,7.71,85.71,0.92,40.0,0.37,100.0,0.37,0.18,6.61,77.78,97.03,18.55,0,,0,,0,0.0,0.0,0.0,,,1.65,,1.47,0.0,0.0,0.0,0.55,0,0
S. Güler,Semih Güler,392121,Kayserispor,Kayserispor,https://cdn5.wyscout.com/photos/team/public/819_120x120.png,1. Lig,RCB,RCB,100,,0,,0,31,1994-11-30,1000000,2028-06-30,5,490,0,0.7000000000000001,0,0.0,4.59,64.0,Germany,"['Germany', 'Türkiye']",right,188,85,False,7.35,3.31,61.11,1.1,66.67,0.0,0.0,1.1,5.33,6.96,0.55,2,0.37,0,0.0,0.0,0.0,0,0.0,0.13,0,0.0,4,0.73,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.18,100.0,0.73,0.92,0.0,42.43,0.18,0.0,55.29,88.04,17.63,80.21,3.49,94.74,47.57,93.44,7.35,57.5,25.22,46.35,0.0,0.0,0.0,0.18,0.0,0.0,0.0,9.18,70.0,1.1,50.0,0.18,0.0,0.18,0.0,8.08,75.0,93.67,29.02,0,,0,,0,0.0,0.0,0.0,,,3.12,,1.1,0.18,0.18,0.0,0.0,0,0
C. Şen,Cenk Şen,496030,Kayserispor,Kayserispor,https://cdn5.wyscout.com/photos/team/public/819_120x120.png,1. Lig,LB,LB,100,,0,,0,25,2000-10-02,0,2028-06-30,5,490,0,0.01,0,0.13,9.92,57.41,Türkiye,['Türkiye'],left,170,64,False,9.18,3.86,52.38,2.39,53.85,0.18,0.24,0.18,6.98,9.12,0.18,0,0.0,0,0.0,0.55,0.0,0,0.0,0.0,0,0.0,1,0.18,0.0,0.0,0.0,1.29,42.86,1.29,42.86,0.0,0.0,0.18,0.37,0.0,2.39,61.54,1.29,1.29,0.18,36.18,2.2,2.2,45.73,80.32,17.82,70.1,11.02,91.67,40.04,87.16,4.59,32.0,17.12,43.13,0.02,0.18,0.0,0.0,0.0,0.0,0.18,4.78,57.69,1.1,33.33,0.0,0.0,0.0,0.37,7.16,48.72,91.84,9.0,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.39,0.0,0.0,0.0,0.0,0,0
