Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Karagezyan,Svetlana Karagezyan,-264066,Rostov,Rostov,https://cdn5.wyscout.com/photos/team/public/g-13842_120x120.png,Russian Super League,RCB,RCB,98,,0,,0,21.0,2004-10-07,0,,11,1049,0,0.19,0,0.0,13.98,65.03,Russia,['Russia'],unknown,165,60,False,13.3,7.21,79.76,2.5700000000000003,60.0,0.51,0.62,0.26,7.04,8.42,0.51,1,0.09,0,0.0,0.09,0.0,0,0.0,0.02,0,0.0,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,14.29,1.63,31.58,0.17,0.6900000000000001,0.09,6.26,0.34,0.6000000000000001,21.96,62.5,12.87,53.33,1.54,88.89,16.99,66.67,4.98,48.28,18.98,30.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,52.63,0.26,0.0,0.09,0.0,0.0,0.0,7.29,40.0,75.44,4.89,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,2.5700000000000003,0.17,0.0,0.0,0.0,0,0.0
Y. Kamorina,Yuliana Kamorina,-441528,Chertanovo,Chertanovo,https://cdn5.wyscout.com/photos/team/public/g6098_120x120.png,Russian Super League,RCB,RCB,89,,0,,0,19.0,2007-07-10,0,,11,1048,1,1.74,0,0.01,12.8,59.73,Russia,['Russia'],,0,0,False,8.42,4.8100000000000005,62.5,2.75,53.13,0.26,0.38,0.77,5.15,7.5,0.26,1,0.09,0,0.0,0.86,0.09,1,0.09,0.15,0,0.0,8,0.6900000000000001,50.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,85.71,3.09,61.11,0.77,1.12,0.09,34.87,0.34,1.55,51.18,81.71,22.5,70.23,3.09,94.44,45.69,85.9,5.5,46.88,20.16,34.15,0.0,0.09,0.0,0.0,0.0,0.0,0.0,6.27,67.12,0.6900000000000001,50.0,0.43,0.0,0.34,0.0,11.59,54.81,92.89,21.73,0,,0,,0,0.0,0.0,0.0,,,2.23,,2.75,0.0,0.0,0.0,0.0,0,0.0
V. Butkevich,Vladislava Butkevich,-328862,Lokomotiv Moskva,Lokomotiv Moskva,https://cdn5.wyscout.com/photos/team/public/g-8534_120x120.png,Russian Super League,RB,RB,100,,0,,0,19.0,2006-09-12,0,,11,1044,2,1.8,0,0.9500000000000001,13.79,51.25,Russia,['Russia'],unknown,0,0,False,8.71,5.26,73.77,2.41,46.43,0.0,0.0,0.09,4.83,7.21,0.78,2,0.17,0,0.0,1.47,0.17,2,0.17,0.16,2,0.17,11,0.9500000000000001,36.36,18.182,0.0,1.38,31.25,0.17,0.0,1.21,35.71,0.43,1.47,47.06,3.79,25.0,1.29,1.03,0.17,22.33,0.09,0.09,35.26,72.37,17.41,60.4,3.71,90.7,26.21,81.91,7.67,47.19,21.74,35.21,0.08,0.6900000000000001,0.0,0.0,0.0,0.0,0.34,8.19,55.79,2.33,48.15,1.03,41.67,0.86,0.43,9.48,68.18,85.32,9.4,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,2.41,0.09,0.09,0.0,0.0,0,0.0
D. Eremenkova,Darya Eremenkova,-177891,Zvezda 2005,Zvezda 2005,https://cdn5.wyscout.com/photos/team/public/g6592_120x120.png,Russian Super League,"CB, RCB",CB,54,RCB,45,,0,30.0,1996-07-14,0,,11,1043,2,2.73,0,0.2,14.93,57.23,Russia,['Russia'],,0,0,False,10.27,6.13,67.61,5.78,56.72,0.43,0.51,1.12,5.7,6.78,0.86,3,0.26,0,0.0,0.52,0.17,0,0.0,0.24,0,0.0,7,0.6000000000000001,71.43,28.571,0.0,0.17,50.0,0.09,0.0,0.09,100.0,0.0,0.0,0.0,1.55,22.22,0.43,0.17,0.09,15.7,0.17,0.6000000000000001,30.81,68.91,13.63,50.0,1.81,80.95,22.35,78.38,8.28,43.75,22.29,34.29,0.02,0.26,0.0,0.0,0.0,0.0,0.09,3.88,40.0,0.6900000000000001,37.5,0.17,50.0,0.26,0.09,8.2,33.68,89.58,12.43,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,5.78,0.17,0.0,0.0,0.0,3,66.667
E. Stanovova,Elizaveta Stanovova,-339122,Enisey,Enisey,https://cdn5.wyscout.com/photos/team/public/g23827_120x120.png,Russian Super League,RB,RB,100,,0,,0,21.0,2004-12-08,0,,11,1042,0,0.14,1,0.26,15.63,55.25,Russia,['Russia'],unknown,0,0,False,11.23,7.6,70.45,0.86,60.0,0.09,0.1,0.78,5.79,6.86,0.52,0,0.0,0,0.0,1.12,0.0,0,0.0,0.01,0,0.0,2,0.17,0.0,0.0,0.09,1.6400000000000001,31.58,0.0,0.0,1.6400000000000001,31.58,0.35000000000000003,1.3,46.67,5.18,36.67,0.35000000000000003,1.21,0.17,18.66,0.43,0.6900000000000001,30.14,75.07,13.91,64.6,4.58,96.23,25.74,82.21,2.85,33.33,16.21,26.02,0.02,0.35000000000000003,0.0,0.0,0.0,0.0,0.35000000000000003,2.42,60.71,1.47,35.29,0.09,0.0,0.09,0.52,6.48,58.67,75.9,7.17,0,,0,,0,0.0,0.0,0.0,,,0.17,,0.86,0.0,0.0,0.0,0.0,0,0.0
K. Januškevičius,Kristina Januškevičius,-177912,Enisey,Enisey,https://cdn5.wyscout.com/photos/team/public/g23827_120x120.png,Russian Super League,LCB,LCB,100,,0,,0,23.0,2002-08-04,0,,11,1042,0,0.25,0,0.0,12.61,60.96,Russia,['Russia'],,0,0,False,10.88,7.17,67.47,2.33,55.56,0.43,0.51,0.78,5.61,6.66,0.9500000000000001,0,0.0,0,0.0,0.09,0.0,0,0.0,0.02,0,0.0,3,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,1.12,15.38,0.6000000000000001,0.43,0.09,13.65,0.09,0.17,25.65,77.78,12.35,72.03,1.12,84.62,22.54,82.38,3.11,44.44,18.3,27.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,63.33,0.35000000000000003,25.0,0.09,0.0,0.17,0.0,5.87,47.06,84.47,8.9,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,2.33,0.09,0.0,0.0,0.0,0,0.0
T. Ananjeva,Tatyana Ananjeva,79060,Enisey,Enisey,https://cdn5.wyscout.com/photos/team/public/g23827_120x120.png,Russian Super League,"RCB, DMF",RCB,63,DMF,36,,0,34.0,1992-04-26,0,,11,1042,2,0.32,0,1.18,12.61,60.27,Russia,['Russia'],,0,0,False,11.49,6.5600000000000005,75.0,1.81,52.38,1.04,1.23,0.26,5.53,6.55,0.6900000000000001,1,0.09,0,0.0,0.52,0.17,2,0.17,0.03,0,0.0,9,0.78,33.33,22.222,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.52,50.0,2.76,34.38,0.52,0.86,0.0,19.69,0.09,0.78,34.12,73.67,17.02,60.91,2.42,78.57,26.43,82.35,7.51,44.83,20.15,36.32,0.1,0.52,0.09,0.0,0.0,0.0,0.17,6.31,52.05,0.6900000000000001,62.5,0.78,66.67,0.6900000000000001,0.0,7.43,56.98,92.62,10.54,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.81,2.16,0.35000000000000003,25.0,0.35000000000000003,0,0.0
P. Malaeva,Polina Malaeva,509682,Enisey,Enisey,https://cdn5.wyscout.com/photos/team/public/g23827_120x120.png,Russian Super League,GK,GK,100,,0,,0,23.0,2002-11-12,0,,11,1042,0,0.0,0,0.0,1.04,58.33,Belarus,['Belarus'],,0,0,False,2.5,0.17,50.0,0.6000000000000001,57.14,0.0,0.0,0.0,2.42,2.87,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.0,0.0,0.0,4.23,0.0,0.17,11.66,57.78,8.81,48.04,0.09,100.0,4.4,94.12,7.26,35.71,36.3,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,30.0,0.0,0.0,0.09,0.0,0.0,0.0,5.01,41.38,86.67,2.59,21,1.81,74,6.39,2,71.62,25.47,2.2,4.47,0.386,0.0,2.5,0.6000000000000001,,,,0.0,0,0.0
N. Damjanović,Nevena Damjanović,130331,CSKA Moskva,CSKA Moskva,https://cdn5.wyscout.com/photos/team/public/g28105_120x120.png,Russian Super League,LCB,LCB,100,,0,,0,33.0,1993-04-12,0,,11,1041,5,3.04,1,0.43,10.12,59.83,Serbia,['Serbia'],,0,0,False,6.05,3.8,72.73,3.29,60.53,0.17,0.26,0.86,3.11,4.74,0.43,0,0.0,0,0.0,1.6400000000000001,0.43,2,0.17,0.26,0,0.0,12,1.04,66.67,41.667,0.09,1.21,42.86,0.9500000000000001,45.45,0.26,33.33,0.17,0.61,71.43,1.56,44.44,0.78,0.09,0.0,42.71,0.17,0.26,56.46,82.85,26.2,71.95,4.15,100.0,43.83,92.31,11.41,50.76,22.75,39.82,0.04,0.52,0.09,0.0,0.0,0.0,0.26,9.08,55.24,2.33,37.04,0.9500000000000001,27.27,0.61,0.52,12.36,81.12,93.98,21.53,0,,0,,0,0.0,0.0,0.0,,,2.94,,3.29,0.43,0.35000000000000003,50.0,0.17,3,100.0
E. Bratko,Ekaterina Bratko,189002,CSKA Moskva,CSKA Moskva,https://cdn5.wyscout.com/photos/team/public/g28105_120x120.png,Russian Super League,RCB,RCB,100,,0,,0,32.0,1993-11-17,0,,11,1041,0,0.0,0,0.0,6.74,73.08,Russia,['Russia'],,0,0,False,7.0,3.46,77.5,2.68,67.74,0.0,0.0,1.38,4.32,6.58,0.26,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,44.35,0.17,0.0,64.76,87.98,22.13,71.88,3.8,100.0,57.58,93.39,7.18,44.58,20.33,33.23,0.0,0.0,0.09,0.0,0.0,0.0,0.0,3.98,58.7,0.26,33.33,0.26,33.33,0.09,0.0,8.65,57.0,96.76,34.67,0,,0,,0,0.0,0.0,0.0,,,3.29,,2.68,0.0,0.0,0.0,0.0,0,0.0
