Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Pehlivanov,Kaloyan Pehlivanov,-318185,Alta,Alta,https://cdn5.wyscout.com/photos/team/public/g-23288_120x120.png,USL League 1,"RCB, LCB",RCB,62,LCB,34,,0,22.0,2003-10-26,0,2026-11-30,21,2038,0,0.33,0,0.15,9.85,60.54,Bulgaria,['Bulgaria'],right,193,0,False,6.4,4.42,62.0,2.91,62.12,0.26,0.44,0.5700000000000001,3.4,5.68,1.4100000000000001,6,0.26,0,0.0,0.31,0.0,0,0.0,0.01,0,0.0,6,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,1.15,69.23,0.4,0.44,0.13,45.26,0.5700000000000001,0.79,56.66,89.79,21.11,76.78,2.43,98.18,50.3,95.26,6.36,46.53,22.11,46.88,0.01,0.18,0.0,0.0,0.0,0.0,0.09,5.87,55.64,0.49,18.18,0.18,0.0,0.13,0.0,7.37,68.26,97.38,28.7,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,2.91,0.0,0.0,0.0,0.0,0,0.0
J. Crull,Jacob Crull,-185874,Athletic Club Boise,Athletic Club Boise,https://cdn5.wyscout.com/photos/team/public/g-25769_120x120.png,USL League 1,"LCB3, LB",LCB3,84,LB,13,,0,28.0,1997-10-03,175000,2026-11-30,20,1963,1,1.6099999999999999,1,0.71,11.42,65.06,United States,['United States'],left,185,77,False,7.98,5.73,65.6,2.75,70.0,0.18,0.27,0.28,4.03,6.04,0.78,2,0.09,0,0.0,1.19,0.05,1,0.05,0.07,1,0.05,12,0.55,41.67,8.333,0.05,1.7000000000000002,37.84,1.65,36.11,0.05,100.0,0.37,0.46,70.0,1.97,55.81,0.96,2.38,0.14,49.29,0.87,0.92,63.32,88.34,27.23,82.66,6.28,98.54,56.39,93.01,5.46,53.78,18.37,38.95,0.03,0.32,0.0,0.05,0.0,0.0,0.18,8.02,81.14,1.83,37.5,0.14,0.0,0.28,0.6000000000000001,12.1,77.65,91.61,19.12,0,,0,,0,0.0,0.0,0.0,,,0.73,,2.75,0.0,0.0,0.0,0.0,0,0.0
P. Langlois,Patrick Luis Langlois,495603,Corpus Christi,Corpus Christi,https://cdn5.wyscout.com/photos/team/public/g-9719_120x120.png,USL League 1,"RB, DMF, RCMF",RB,46,DMF,24,RCMF,18,26.0,1999-10-28,75000,2026-11-30,19,1901,1,1.6800000000000002,0,0.44,10.75,51.54,Australia,['Australia'],right,178,81,False,7.95,5.97,61.11,2.23,36.17,0.14,0.18,0.19,4.17,5.37,1.1400000000000001,3,0.14,0,0.0,0.9,0.05,1,0.05,0.08,0,0.0,8,0.38,37.5,12.5,0.0,1.28,37.04,0.05,0.0,1.23,38.46,0.24,0.28,83.33,0.99,47.62,0.47000000000000003,0.43,0.05,20.55,0.38,0.33,30.06,81.1,11.74,69.35,4.45,94.68,25.38,88.43,3.6,44.74,20.32,37.87,0.02,0.19,0.0,0.0,0.05,100.0,0.24,4.92,61.54,1.09,39.13,0.19,50.0,0.09,0.33,6.49,64.23,88.89,10.65,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.23,0.0,0.0,0.0,0.0,1,0.0
S. Gómez,Shannon Gómez,253884,Corpus Christi,Corpus Christi,https://cdn5.wyscout.com/photos/team/public/g-9719_120x120.png,USL League 1,"LB, RB",LB,53,RB,44,,0,29.0,1996-10-05,200000,2026-11-30,19,1854,0,0.0,0,0.08,11.36,47.86,Trinidad and Tobago,['Trinidad and Tobago'],right,170,64,False,6.6,4.76,53.06,1.75,44.44,0.05,0.06,0.49,4.03,5.17,0.92,3,0.15,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,1,0.05,0.0,0.0,0.0,0.78,25.0,0.1,50.0,0.68,21.43,0.0,0.58,41.67,3.35,42.03,0.05,0.68,0.19,18.83,1.31,1.17,28.93,80.7,10.63,70.78,7.43,94.12,24.22,86.17,3.93,58.02,19.78,37.55,0.0,0.1,0.05,0.0,0.0,0.0,0.05,3.64,64.0,0.97,30.0,0.19,25.0,0.1,0.19,5.29,69.72,81.69,6.89,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.75,0.0,0.0,0.0,0.0,0,0.0
S. Owusu,Samuel Afriyie Owusu,507903,Union Omaha,Union Omaha,https://cdn5.wyscout.com/photos/team/public/g-11997_120x120.png,USL League 1,RCB,RCB,91,,0,,0,25.0,2000-12-12,0,2026-11-30,19,1851,2,2.1,0,0.85,8.8,65.75,Ghana,['Ghana'],right,188,84,False,6.27,3.5,58.33,2.04,76.19,0.1,0.15,0.44,4.13,6.42,1.26,3,0.15,0,0.0,0.44,0.1,2,0.1,0.1,0,0.0,13,0.63,30.77,15.385,0.0,0.34,42.86,0.1,50.0,0.24,40.0,0.0,0.15,66.67,1.9,74.36,1.26,1.94,0.15,40.79,0.39,1.51,55.38,89.73,25.09,83.91,2.38,97.96,47.8,94.61,7.24,59.73,21.63,39.77,0.04,0.29,0.0,0.0,0.05,0.0,0.19,9.58,80.71,0.73,33.33,0.53,45.45,0.05,0.1,11.23,81.39,96.15,22.71,0,,0,,0,0.0,0.0,0.0,,,1.51,,2.04,0.0,0.0,0.0,0.0,0,0.0
P. Mayaka,Philip Mayaka,-194592,Athletic Club Boise,Athletic Club Boise,https://cdn5.wyscout.com/photos/team/public/g-25769_120x120.png,USL League 1,"RCMF, DMF",RCMF,69,DMF,20,,0,25.0,2000-11-20,0,2026-11-30,20,1851,1,0.97,1,1.48,13.13,47.78,Kenya,['Kenya'],,170,0,False,6.47,6.32,49.23,0.19,50.0,0.05,0.07,0.39,3.31,5.05,1.65,6,0.29,0,0.0,0.92,0.05,1,0.05,0.05,0,0.0,11,0.53,18.18,9.091,0.05,0.73,46.67,0.19,75.0,0.53,36.36,0.19,1.02,47.62,4.96,40.2,0.44,1.26,0.1,41.23,0.05,1.07,55.43,90.96,13.86,79.3,8.41,97.11,51.93,93.16,2.77,61.4,17.54,36.42,0.07,0.68,0.05,0.0,0.1,0.0,0.29,7.54,76.77,1.7000000000000002,54.29,0.29,50.0,0.73,0.34,6.8100000000000005,80.71,95.88,23.58,0,,0,,0,0.0,0.0,0.0,,,0.97,,0.19,0.15,0.0,0.0,0.49,0,0.0
J. Villalobos,Jimmie Villalobos,-189252,Alta,Alta,https://cdn5.wyscout.com/photos/team/public/g-23288_120x120.png,USL League 1,"RCMF, RDMF, LDMF",RCMF,31,RDMF,24,LDMF,24,31.0,1995-07-21,175000,2026-11-30,20,1817,1,0.42,0,1.1,6.24,53.97,United States,"['United States', 'Mexico']",,175,77,False,5.94,2.67,62.96,1.19,54.17,0.0,0.0,0.45,4.26,7.37,0.4,1,0.05,0,0.0,0.4,0.05,1,0.05,0.02,0,0.0,11,0.54,9.09,9.091,0.0,0.5,60.0,0.2,75.0,0.30000000000000004,50.0,0.1,0.1,50.0,1.49,40.0,0.54,0.54,0.05,44.48,0.4,0.5,56.71,90.74,13.92,77.22,10.5,96.23,51.66,94.53,4.5600000000000005,51.09,18.87,35.96,0.05,0.54,0.0,0.05,0.05,0.0,0.30000000000000004,7.97,78.26,0.6900000000000001,50.0,0.35000000000000003,42.86,0.4,0.25,7.83,77.22,94.47,24.17,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.19,0.0,0.0,0.0,0.1,0,0.0
J. Keaney,Jack Keaney,476052,Corpus Christi,Corpus Christi,https://cdn5.wyscout.com/photos/team/public/g-9719_120x120.png,USL League 1,RCB,RCB,97,,0,,0,27.0,1999-01-18,75000,2026-11-30,18,1802,0,0.63,0,0.37,12.99,64.62,Republic of Ireland,"['Republic of Ireland', 'England']",right,188,76,False,8.84,6.04,66.94,4.15,63.86,0.1,0.13,0.75,4.69,6.08,1.2,7,0.35000000000000003,1,0.05,0.35000000000000003,0.0,0,0.0,0.03,0,0.0,3,0.15,0.0,0.0,0.0,0.45,55.56,0.05,0.0,0.4,62.5,0.05,0.2,50.0,1.15,56.52,0.30000000000000004,0.85,0.0,28.27,0.8,1.45,40.06,85.16,19.13,74.67,1.75,94.29,30.57,92.48,9.04,61.88,25.4,44.76,0.02,0.35000000000000003,0.05,0.0,0.0,0.0,0.1,7.29,63.01,0.9500000000000001,68.42,0.7000000000000001,57.14,0.65,0.25,9.74,80.51,96.18,16.98,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,4.15,0.0,0.0,0.0,0.0,0,0.0
M. Levy,Matt Levy,-214108,Charlotte Independence,Charlotte Independence,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,GK,GK,100,,0,,0,26.0,2000-03-01,0,2026-11-30,18,1786,0,0.0,0,0.0,1.21,79.17,United States,['United States'],,185,78,False,2.07,0.2,50.0,0.66,84.62,0.0,0.0,0.0,1.97,2.68,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,80.0,0.0,0.0,0.0,9.07,0.1,0.35000000000000003,17.84,82.77,7.66,69.08,0.05,100.0,12.95,97.28,4.89,44.33,29.12,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,38.71,0.05,0.0,0.1,0.0,0.0,0.0,3.07,45.9,92.22,9.07,27,1.3599999999999999,88,4.43,3,69.32,28.34,1.43,1.34,0.068,0.0,1.97,0.66,,,,0.0,0,0.0
C. Dimick,Clay Dimick,-128293,Charlotte Independence,Charlotte Independence,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,"RB, RCB3",RB,74,RCB3,19,,0,31.0,1994-12-07,175000,2026-11-30,18,1786,0,0.89,1,1.51,8.31,46.06,United States,['United States'],right,183,75,False,5.14,4.28,47.06,1.97,46.15,0.05,0.07,0.30000000000000004,3.07,4.2,0.76,1,0.05,0,0.0,1.01,0.0,0,0.0,0.04,0,0.0,7,0.35000000000000003,57.14,0.0,0.05,1.71,44.12,0.15,66.67,1.56,41.94,0.15,0.1,50.0,1.46,34.48,1.11,0.35000000000000003,0.05,23.84,2.62,0.55,31.44,82.21,12.25,76.54,5.09,94.06,26.71,88.68,3.02,46.67,18.72,35.94,0.08,0.91,0.0,0.0,0.0,0.0,0.45,3.23,67.19,1.6099999999999999,62.5,0.1,50.0,0.45,0.86,6.95,71.01,85.0,9.07,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,1.97,0.0,0.0,0.0,0.0,0,0.0
