Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Vanney,Maison Vanney,-383240,Ventura County,Ventura County,https://cdn5.wyscout.com/photos/team/public/g27577_120x120.png,MLS Next Pro,"RB, RWB",RB,68,RWB,24,,0,18.0,2007-11-29,0,,20,1941,1,0.38,2,1.1400000000000001,14.51,50.8,United States,['United States'],unknown,0,0,False,8.11,8.02,57.8,1.76,36.84,0.19,0.24,0.37,3.29,4.26,1.07,3,0.14,0,0.0,1.48,0.05,1,0.05,0.02,0,0.0,6,0.28,33.33,16.667,0.09,3.15,29.41,0.0,0.0,3.11,28.36,0.32,0.93,50.0,3.66,41.77,1.62,1.25,0.28,30.37,3.43,0.8300000000000001,40.06,80.44,10.48,66.37,12.29,95.09,35.47,86.54,1.58,41.18,17.9,33.53,0.05,0.6000000000000001,0.09,0.09,0.0,0.0,0.42,2.13,67.39,2.27,42.86,0.05,0.0,0.32,0.7000000000000001,5.33,57.39,76.11,10.48,0,,0,,0,0.0,0.0,0.0,,,1.21,,1.76,0.0,0.0,0.0,0.05,0,0.0
R. Uzcátegui,Rafael Guillermo Uzcátegui Golding,-256195,Philadelphia Union II,Philadelphia Union II,https://cdn5.wyscout.com/photos/team/public/g35362_120x120.png,MLS Next Pro,"LCB, RCB",LCB,66,RCB,31,,0,21.0,2004-10-04,0,2026-12-31,20,1917,1,2.2800000000000002,0,0.52,10.56,55.11,Venezuela,['Venezuela'],right,180,77,False,8.92,5.31,62.83,2.8200000000000003,55.0,0.33,0.4,0.7000000000000001,5.26,6.45,1.08,2,0.09,0,0.0,0.19,0.05,1,0.05,0.11,1,0.05,13,0.61,15.38,7.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,40.0,1.17,28.0,0.75,0.47000000000000003,0.05,31.46,0.28,0.19,49.91,84.85,20.52,70.71,2.77,94.92,43.66,91.18,6.24,40.6,21.4,39.64,0.02,0.14,0.0,0.0,0.0,0.0,0.14,4.88,68.27,0.52,27.27,0.09,50.0,0.19,0.0,8.26,57.95,95.82,22.49,0,,0,,0,0.0,0.0,0.0,,,1.97,,2.8200000000000003,0.0,0.0,0.0,0.0,0,0.0
F. Sar-Sar Cairo,Farid Sar-Sar Cairo,-430837,Chattanooga,Chattanooga,https://cdn5.wyscout.com/photos/team/public/g18884_120x120.png,MLS Next Pro,"RCB, LCB",RCB,78,LCB,19,,0,27.0,1999-07-08,0,2027-12-31,19,1885,1,1.98,1,0.04,7.83,62.2,United States,['United States'],unknown,0,0,False,7.26,3.44,66.67,2.77,55.17,0.38,0.47000000000000003,0.5700000000000001,4.58,5.63,0.29,4,0.19,0,0.0,0.33,0.05,0,0.0,0.09,0,0.0,10,0.48,50.0,10.0,0.05,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,100.0,0.86,61.11,0.72,0.33,0.05,33.23,0.38,0.43,48.37,90.72,15.66,81.4,3.39,87.32,43.54,93.97,4.73,62.63,22.23,43.43,0.0,0.05,0.05,0.1,0.0,0.0,0.05,4.39,73.91,0.48,40.0,0.38,50.0,0.1,0.0,7.07,70.27,97.39,25.64,0,,0,,0,0.0,0.0,0.0,,,2.48,,2.77,0.05,0.05,100.0,0.0,1,100.0
E. Jakupović,Eldin Jakupović,6453,Chattanooga,Chattanooga,https://cdn5.wyscout.com/photos/team/public/g18884_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,41.0,1984-10-02,100000,2026-12-31,19,1885,0,0.0,1,0.17,0.48,90.0,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Switzerland']",right,191,87,False,1.05,0.1,100.0,0.1,50.0,0.0,0.0,0.0,0.9500000000000001,1.17,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.05,0.0,24.4,0.14,0.24,33.23,83.19,15.9,67.57,0.05,100.0,20.24,98.58,12.94,59.41,34.92,50.34,0.01,0.05,0.0,0.05,0.0,0.0,0.1,5.3,48.65,0.43,11.11,0.05,0.0,0.14,0.0,8.45,76.84,97.41,16.62,25,1.19,78,3.7199999999999998,5,67.95,19.91,0.9500000000000001,-5.09,-0.243,0.0,1.67,0.1,,,,0.0,0,0.0
M. Garnette,Micaah Dominique Garnette,-274413,Vancouver Whitecaps II,Vancouver Whitecaps II,https://cdn5.wyscout.com/photos/team/public/g32873_120x120.png,MLS Next Pro,LB,LB,83,,0,,0,23.0,2003-05-28,0,2026-12-31,19,1883,0,0.16,1,2.63,13.14,51.64,United States,['United States'],unknown,175,70,False,6.88,6.07,55.12,1.43,33.33,0.1,0.11,0.38,3.44,3.96,0.81,2,0.1,0,0.0,1.77,0.0,0,0.0,0.01,0,0.0,6,0.29,33.33,0.0,0.05,1.96,43.9,1.72,41.67,0.24,60.0,0.1,1.43,56.67,4.35,54.95,1.15,1.96,0.53,27.43,1.72,1.29,37.19,83.93,14.24,75.17,6.5,97.06,33.41,88.13,1.9100000000000001,50.0,17.1,36.45,0.13,0.67,0.0,0.0,0.05,0.0,0.62,4.54,77.89,1.82,55.26,0.1,0.0,0.43,0.81,5.88,72.36,87.79,10.18,0,,0,,0,0.0,0.0,0.0,,,0.62,,1.43,0.0,0.0,0.0,0.05,0,0.0
N. Lund,Nicklas Lund,-91635,Portland Timbers II,Portland Timbers II,https://cdn5.wyscout.com/photos/team/public/g13230_120x120.png,MLS Next Pro,"LCB, CB",LCB,68,CB,23,,0,24.0,2002-04-17,0,2026-12-31,19,1808,1,1.72,0,0.06,11.0,65.16,Germany,"['Germany', 'Denmark']",right,185,81,False,8.01,4.38,62.5,3.58,73.61,0.0,0.0,0.45,5.28,6.35,1.1400000000000001,3,0.15,0,0.0,0.55,0.05,1,0.05,0.09,1,0.05,12,0.6000000000000001,58.33,8.333,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.25,80.0,1.0,70.0,0.8,0.1,0.0,32.56,0.15,0.9500000000000001,46.74,88.07,17.67,75.77,2.29,93.48,41.71,94.03,4.98,39.0,21.57,50.14,0.0,0.05,0.0,0.0,0.0,0.0,0.05,5.43,50.46,0.55,9.09,0.15,33.33,0.05,0.0,5.92,71.43,96.39,23.45,0,,0,,0,0.0,0.0,0.0,,,1.44,,3.58,0.0,0.0,0.0,0.0,0,0.0
N. Holliday,Nicholas Holliday,-252211,Carolina Core,Carolina Core,https://cdn5.wyscout.com/photos/team/public/g-20867_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,20.0,2006-01-17,0,2027-12-31,18,1805,0,0.18,0,0.0,0.55,90.91,United States,['United States'],unknown,0,0,False,0.5,0.15,66.67,0.2,100.0,0.0,0.0,0.0,0.4,0.5,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.2,100.0,0.05,0.0,0.0,11.52,0.15,0.25,18.15,72.53,9.67,52.06,0.05,100.0,10.32,99.03,7.83,37.58,37.14,51.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,26.09,0.4,12.5,0.0,0.0,0.05,0.0,4.59,53.26,96.23,7.93,32,1.6,107,5.34,4,70.09,32.12,1.6,0.12,0.006,0.0,1.65,0.2,,,,0.0,0,0.0
V. Velazquez,Victor Adolfo  Enriquez Velazquez,-332915,Portland Timbers II,Portland Timbers II,https://cdn5.wyscout.com/photos/team/public/g13230_120x120.png,MLS Next Pro,"LDMF, LCMF, RCMF",LDMF,45,LCMF,24,RCMF,10,20.0,2006-04-16,0,2026-12-31,19,1795,0,0.41000000000000003,0,1.52,11.93,57.98,United States,['United States'],unknown,0,0,False,6.77,5.31,61.32,1.25,52.0,0.45,0.54,0.25,3.06,3.67,1.0,6,0.30000000000000004,0,0.0,0.85,0.0,0,0.0,0.02,0,0.0,11,0.55,18.18,0.0,0.0,0.65,53.85,0.4,50.0,0.25,60.0,0.1,0.6000000000000001,50.0,4.36,57.47,0.30000000000000004,0.5,0.0,28.73,0.05,2.01,41.67,86.4,11.68,69.53,7.32,94.52,37.6,90.0,3.51,52.86,18.83,38.35,0.08,0.8,0.05,0.05,0.1,100.0,0.25,6.22,68.55,1.25,56.0,0.25,60.0,0.6000000000000001,0.30000000000000004,6.07,74.38,94.51,16.45,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.25,0.2,0.0,0.0,0.4,0,0.0
J. Farris,John Anderson Farris,-592057,Minnesota United II,Minnesota United II,https://cdn5.wyscout.com/photos/team/public/g-15450_120x120.png,MLS Next Pro,"LCB, LB",LCB,47,LB,45,,0,18.0,2007-11-09,0,,20,1794,1,0.19,1,1.6600000000000001,9.18,52.46,United States,['United States'],,0,0,False,6.52,5.17,52.43,1.45,48.28,0.25,0.31,0.35000000000000003,3.56,4.35,0.9500000000000001,1,0.05,0,0.0,0.9,0.05,1,0.05,0.01,0,0.0,7,0.35000000000000003,42.86,14.286,0.05,1.56,32.26,1.56,32.26,0.0,0.0,0.2,0.5,40.0,1.81,58.33,0.9,1.05,0.05,35.57,0.85,0.8,48.86,83.68,18.56,72.43,4.77,95.79,41.84,89.69,5.57,53.15,19.98,41.89,0.08,0.75,0.0,0.05,0.05,100.0,0.55,5.77,70.43,2.26,37.78,0.25,60.0,0.5,0.65,8.78,66.29,91.15,20.42,0,,0,,0,0.0,0.0,0.0,,,1.35,,1.45,0.05,0.0,0.0,0.2,0,0.0
T. Wright,Trevor Wright,510901,Vancouver Whitecaps II,Vancouver Whitecaps II,https://cdn5.wyscout.com/photos/team/public/g32873_120x120.png,MLS Next Pro,"LCB, RCB",LCB,58,RCB,38,,0,24.0,2002-05-29,0,2026-12-31,18,1783,2,2.65,0,0.0,11.81,66.67,United States,['United States'],,190,91,False,8.98,4.54,68.89,4.19,65.06,0.05,0.06,1.46,5.8,6.75,0.56,3,0.15,0,0.0,0.61,0.1,2,0.1,0.13,1,0.05,13,0.66,38.46,15.385,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.05,0.4,87.5,2.07,63.41,0.86,0.56,0.05,44.77,0.25,0.76,60.77,90.28,24.99,81.82,2.83,100.0,54.31,94.89,6.36,52.38,22.29,44.29,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6.51,74.42,0.45,22.22,0.2,50.0,0.15,0.0,10.04,71.86,96.13,28.72,0,,0,,0,0.0,0.0,0.0,,,2.07,,4.19,0.0,0.0,0.0,0.0,0,0.0
