Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Castellón,Gabriel Jesús Castellón Velazquez,192894,Universidad de Chile,Universidad de Chile,https://cdn5.wyscout.com/photos/team/public/865_120x120.png,Primera División,GK,GK,100,,0,,0,32.0,1993-09-08,800000,2027-12-31,16,1638,0,0.0,0,0.0,0.77,100.0,Chile,['Chile'],right,187,78,False,1.65,0.16,100.0,0.27,100.0,0.0,0.0,0.0,1.48,2.43,0.0,4,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,9.89,0.16,0.33,17.31,89.52,8.68,81.01,0.0,0.0,13.24,98.76,4.07,59.46,28.83,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,52.94,0.0,0.0,0.0,0.0,0.0,0.0,3.19,63.79,98.62,7.97,11,0.6000000000000001,70,3.85,8,84.29,16.7,0.92,5.7,0.313,0.0,1.21,0.27,,,,0.0,0,0.0
N. Pérez,Alison Nicola Pérez Barone,91578,Ñublense,Ñublense,https://cdn5.wyscout.com/photos/team/public/950_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1990-02-05,350000,,16,1637,0,0.0,0,0.0,1.37,72.0,Uruguay,['Uruguay'],right,184,84,False,1.48,0.22,50.0,0.88,81.25,0.0,0.0,0.0,1.37,1.81,0.05,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,66.67,0.0,0.0,0.0,6.54,0.05,0.22,14.13,84.82,9.9,80.56,0.0,0.0,7.2,98.47,6.93,70.63,37.76,52.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,67.86,0.05,100.0,0.05,100.0,0.11,0.0,5.66,88.35,97.22,3.96,19,1.04,70,3.85,7,72.86,19.2,1.06,0.2,0.011,0.0,2.36,0.88,,,,0.0,0,0.0
T. Ahumada,Tomás Alejandro Ahumada Oteíza,-125391,Audax Italiano,Audax Italiano,https://cdn5.wyscout.com/photos/team/public/919_120x120.png,Primera División,GK,GK,100,,0,,0,25.0,2001-06-24,0,2027-12-31,16,1633,0,0.0,0,0.0,0.33,83.33,Chile,['Chile'],right,181,74,False,1.38,0.0,0.0,0.11,100.0,0.0,0.0,0.0,1.38,2.12,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,12.9,0.61,0.11,24.97,86.09,11.19,74.38,0.0,0.0,16.81,97.38,8.16,62.84,30.33,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,45.45,0.06,0.0,0.11,100.0,0.0,0.0,6.06,62.73,96.55,12.79,23,1.27,72,3.9699999999999998,5,68.06,19.92,1.1,-3.08,-0.17,0.0,1.1,0.11,,,,0.0,0,0.0
Rafael Caroca,Rafael Antonio Caroca Cordero,72895,Huachipato,Huachipato,https://cdn5.wyscout.com/photos/team/public/948_120x120.png,Primera División,"RCB, CB, LCB",RCB,33,CB,31,LCB,19,37.0,1989-07-19,250000,2026-12-31,16,1633,1,2.8,0,0.0,12.79,58.19,Chile,['Chile'],right,170,67,False,9.42,4.68,63.53,5.79,54.29,0.33,0.45,0.72,6.12,8.28,0.55,2,0.11,0,0.0,0.28,0.06,1,0.06,0.15,1,0.06,10,0.55,40.0,10.0,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,0.44,75.0,0.9400000000000001,0.28,0.06,21.6,0.44,0.55,34.17,90.32,13.61,83.4,1.9300000000000002,97.14,32.08,92.61,2.04,54.05,18.12,34.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,67.74,0.0,0.0,0.0,0.0,0.0,0.06,4.3,60.26,95.44,14.49,0,,0,,0,0.0,0.0,0.0,,,1.27,,5.79,0.0,0.0,0.0,0.0,0,0.0
A. Aguirre,Augusto Ezequiel Aguirre,472554,Deportes Limache,Deportes Limache,https://cdn5.wyscout.com/photos/team/public/g31349_120x120.png,Primera División,"RCB, LCB, RCB3",RCB,43,LCB,25,RCB3,25,26.0,1999-08-02,175000,2027-12-31,16,1618,0,0.45,1,0.51,8.84,55.35,Argentina,['Argentina'],right,184,77,True,8.18,3.56,70.31,2.5,37.78,0.06,0.07,0.67,5.62,7.08,0.28,1,0.06,0,0.0,0.33,0.0,0,0.0,0.03,0,0.0,5,0.28,20.0,0.0,0.06,0.5,11.11,0.06,0.0,0.44,12.5,0.0,0.39,57.14,1.45,38.46,0.72,1.78,0.11,25.42,0.39,0.28,35.99,83.31,13.79,68.95,2.61,93.62,29.37,91.67,6.12,49.09,22.84,40.05,0.03,0.11,0.0,0.0,0.0,0.0,0.17,5.67,62.75,0.78,14.29,0.28,60.0,0.22,0.11,5.73,70.87,93.83,17.13,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,2.5,0.0,0.0,0.0,0.0,0,0.0
O. Bosso,Osvaldo Javier Bosso Torres,215818,Ñublense,Ñublense,https://cdn5.wyscout.com/photos/team/public/950_120x120.png,Primera División,CB,CB,83,,0,,0,32.0,1993-10-14,350000,2026-12-31,16,1615,0,0.66,0,0.08,11.2,56.22,Chile,['Chile'],right,177,64,False,7.19,4.01,62.5,4.9,47.73,0.67,0.87,0.28,4.01,5.24,0.78,1,0.06,0,0.0,0.17,0.0,0,0.0,0.04,0,0.0,7,0.39,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.5,44.44,0.39,0.33,0.06,14.43,0.11,0.45,27.47,84.38,10.87,68.72,1.28,95.65,23.91,89.51,3.5700000000000003,50.0,20.73,37.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.9,57.69,0.11,100.0,0.11,50.0,0.11,0.0,4.96,57.3,95.74,13.1,0,,0,,0,0.0,0.0,0.0,,,0.89,,4.9,0.0,0.0,0.0,0.0,0,0.0
Jonathan Villagra,Jonathan Gabriel Villagra Bustamante,-168820,Colo Colo,Colo Colo,https://cdn5.wyscout.com/photos/team/public/539_120x120.png,Primera División,"RCB3, RCB",RCB3,51,RCB,46,,0,25.0,2001-03-28,0,2028-12-31,16,1607,0,0.97,0,0.65,12.99,59.48,Chile,['Chile'],right,183,71,False,8.74,5.66,76.24,2.86,52.94,0.17,0.31,0.22,4.26,7.78,0.78,1,0.06,0,0.0,0.5,0.0,0,0.0,0.05,0,0.0,7,0.39,42.86,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.39,85.71,2.63,40.43,0.67,2.02,0.34,31.75,0.73,0.73,44.24,89.62,16.8,83.67,3.75,97.01,41.0,92.49,3.08,56.36,17.43,29.84,0.04,0.17,0.0,0.0,0.0,0.0,0.06,5.43,85.57,0.17,33.33,0.11,50.0,0.17,0.0,6.44,71.3,94.12,16.19,0,,0,,0,0.0,0.0,0.0,,,1.79,,2.86,0.0,0.0,0.0,0.0,0,0.0
S. Pérez,Sebastián Andrés Pérez Kirby,111761,Palestino,Palestino,https://cdn5.wyscout.com/photos/team/public/941_120x120.png,Primera División,GK,GK,100,,0,,0,35.0,1990-12-02,350000,2026-12-31,16,1605,0,0.0,0,0.07,0.9,87.5,Chile,['Chile'],right,180,76,False,2.02,0.17,66.67,0.5,100.0,0.06,0.07,0.0,1.85,2.43,0.06,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.0,0.0,0.0,9.64,0.17,0.22,19.85,82.49,13.01,75.43,0.06,0.0,10.6,96.83,9.2,66.46,35.1,50.1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.25,58.62,0.22,25.0,0.11,0.0,0.0,0.0,7.46,77.44,99.08,6.11,23,1.29,72,4.04,4,68.06,20.45,1.15,-2.55,-0.14300000000000002,0.0,1.51,0.5,,,,0.0,0,0.0
D. Piña,Daniel Aldair Piña Torres,-321484,Audax Italiano,Audax Italiano,https://cdn5.wyscout.com/photos/team/public/919_120x120.png,Primera División,"LCB3, LCB",LCB3,83,LCB,11,,0,24.0,2001-11-16,0,2026-12-31,16,1603,0,0.53,0,0.18,10.05,54.19,Chile,['Chile'],left,188,80,False,7.35,4.44,63.29,2.98,60.38,0.28,0.43,0.45,4.27,6.55,0.62,3,0.17,0,0.0,0.62,0.0,0,0.0,0.03,0,0.0,7,0.39,0.0,0.0,0.0,0.73,46.15,0.73,46.15,0.0,0.0,0.0,0.51,44.44,2.13,34.21,0.39,1.46,0.34,27.79,0.62,0.51,42.16,85.49,17.18,75.82,4.27,97.37,35.09,90.56,6.34,61.95,22.88,44.03,0.01,0.17,0.0,0.0,0.11,50.0,0.06,5.61,69.0,1.46,53.85,0.34,50.0,0.39,0.34,7.19,69.53,93.36,16.9,0,,0,,0,0.0,0.0,0.0,,,2.69,,2.98,0.0,0.0,0.0,0.0,0,0.0
Víctor Méndez,Víctor Felipe Méndez Obando,472981,Colo Colo,Colo Colo,https://cdn5.wyscout.com/photos/team/public/539_120x120.png,Primera División,"LCMF, LCMF3",LCMF,44,LCMF3,32,,0,26.0,1999-09-23,0,2027-12-31,16,1572,2,1.82,1,2.34,10.08,44.32,Chile,['Chile'],right,172,70,False,4.29,3.26,61.4,0.92,43.75,0.17,0.31,0.0,2.12,3.85,0.63,1,0.06,0,0.0,1.55,0.11,2,0.11,0.1,0,0.0,16,0.92,43.75,12.5,0.06,1.09,47.37,0.4,28.57,0.63,54.55,0.11,1.03,38.89,4.41,31.17,1.37,3.26,0.52,47.75,0.86,0.5700000000000001,62.0,89.2,16.55,80.62,8.47,95.95,58.74,90.74,2.35,68.29,17.17,36.62,0.13,1.83,0.23,0.11,0.46,50.0,0.52,9.39,85.98,2.98,57.69,0.8,35.71,1.6600000000000001,0.4,8.7,89.47,92.83,25.53,0,,0,,0,0.0,0.0,0.0,,,0.4,,0.92,0.23,0.06,100.0,0.8,0,0.0
