Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Moreno,Nelson Oswaldo Moreno Arevalo,393620,Atlético Balboa,Atlético Balboa,https://cdn5.wyscout.com/photos/team/public/g6081_120x120.png,Primera Division,"LB, LCB",LB,54,LCB,43,,0,29.0,1996-11-23,125000,,7,725,0,0.24,0,0.01,11.79,55.79,El Salvador,['El Salvador'],right,171,65,False,5.71,5.34,55.81,3.23,57.69,0.37,0.5,0.12,2.36,3.17,1.12,2,0.25,0,0.0,0.25,0.0,0,0.0,0.03,0,0.0,3,0.37,0.0,0.0,0.0,0.5,50.0,0.37,66.67,0.12,0.0,0.12,0.0,0.0,1.6099999999999999,53.85,0.5,0.12,0.0,9.06,0.62,0.25,16.63,66.42,9.81,55.7,1.24,90.0,11.17,81.11,4.97,35.0,23.59,40.03,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.21,42.86,1.6099999999999999,38.46,0.74,50.0,0.5,0.25,4.1,72.73,85.19,3.35,0,,0,,0,0.0,0.0,0.0,,,0.12,,3.23,0.25,0.0,0.0,0.0,0,0
M. Jacobo,Mario Alberto Jacobo Segovia,279422,Isidro Metapán,Isidro Metapán,https://cdn5.wyscout.com/photos/team/public/3398_120x120.png,Primera Division,RCB,RCB,100,,0,,0,30.0,1996-08-02,150000,,7,724,0,0.16,0,0.08,10.69,73.26,El Salvador,['El Salvador'],,0,0,False,7.46,4.72,76.32,5.22,71.43,0.12,0.23,0.62,3.73,6.92,0.5,1,0.12,0,0.0,0.12,0.0,0,0.0,0.02,0,0.0,2,0.25,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,0.25,100.0,0.37,0.12,0.0,21.88,0.25,0.0,32.82,86.74,16.78,78.52,0.62,80.0,26.98,94.01,5.72,52.17,23.21,43.03,0.01,0.12,0.0,0.0,0.0,0.0,0.0,5.47,59.09,0.62,40.0,0.25,50.0,0.12,0.12,7.71,85.48,96.94,12.18,0,,0,,0,0.0,0.0,0.0,,,0.37,,5.22,0.12,0.0,0.0,0.0,0,0
N. Gómez,Nicolás Evar Gómez Silveira,323115,Isidro Metapán,Isidro Metapán,https://cdn5.wyscout.com/photos/team/public/3398_120x120.png,Primera Division,LCB,LCB,100,,0,,0,34.0,1992-06-24,150000,,7,724,0,0.5700000000000001,0,0.0,15.29,69.92,Uruguay,['Uruguay'],right,186,85,False,9.7,7.71,77.42,5.22,64.29,0.12,0.23,0.37,3.6,6.69,1.12,2,0.25,0,0.0,0.0,0.0,0,0.0,0.07,0,0.0,3,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.62,20.0,0.37,0.37,0.0,25.48,0.25,0.75,39.65,89.34,19.02,82.35,1.62,100.0,35.68,91.64,3.98,68.75,20.67,40.45,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.1,78.05,0.25,100.0,0.0,0.0,0.12,0.0,8.08,72.31,98.29,14.54,0,,0,,0,0.0,0.0,0.0,,,1.37,,5.22,0.0,0.0,0.0,0.0,0,0
B. Villalobos,Benji Oldaí Villalobos Segovia,82372,Águila,Águila,https://cdn5.wyscout.com/photos/team/public/3410_120x120.png,Primera Division,GK,GK,100,,0,,0,38.0,1988-07-15,50000,,7,721,0,0.0,0,0.0,1.37,81.82,El Salvador,['El Salvador'],right,181,75,False,2.25,0.12,100.0,0.62,100.0,0.0,0.0,0.0,2.12,3.49,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.5,75.0,0.0,0.0,0.0,4.12,0.37,0.25,11.98,87.5,7.36,83.05,0.0,0.0,7.99,98.44,3.87,67.74,33.18,50.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,58.82,0.0,0.0,0.0,0.0,0.0,0.0,3.74,76.67,96.77,3.87,11,1.37,29,3.62,1,62.07,9.85,1.23,-1.15,-0.14400000000000002,0.0,2.0,0.62,,,,0.0,0,0
K. Reyes,Kevin Stiven Reyes Ortiz,441072,Isidro Metapán,Isidro Metapán,https://cdn5.wyscout.com/photos/team/public/3398_120x120.png,Primera Division,"RB, RAMF",RB,60,RAMF,27,,0,29.0,1997-08-28,200000,,7,718,1,1.11,3,1.27,13.91,56.76,El Salvador,['El Salvador'],right,175,0,False,6.02,4.76,68.42,1.5,33.33,0.0,0.0,0.13,2.76,5.08,0.63,2,0.25,0,0.0,3.13,0.13,1,0.13,0.14,0,0.0,9,1.13,22.22,11.111,0.38,4.39,40.0,0.38,33.33,4.01,40.63,0.88,2.01,56.25,5.89,53.19,1.63,1.75,0.5,19.93,2.38,1.0,30.21,66.8,13.04,59.62,2.76,90.91,19.93,77.36,6.02,50.0,22.7,37.17,0.16,0.88,0.0,0.0,0.0,0.0,0.63,5.01,57.5,4.76,50.0,0.25,50.0,1.0,1.88,8.9,81.69,68.18,8.27,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.5,0.5,0.13,0.0,0.13,1,0
R. Aparicio,Reinaldo Adalberto Aparicio Romero,-70978,Cacahuatique,Cacahuatique,https://cdn5.wyscout.com/photos/team/public/g-21844_120x120.png,Primera Division,RCB,RCB,90,,0,,0,33.0,1993-05-17,125000,,7,717,0,0.09,0,0.41000000000000003,15.69,64.8,El Salvador,['El Salvador'],right,168,73,False,8.03,5.77,69.57,7.53,70.0,0.25,0.38,0.38,3.77,5.7,1.0,2,0.25,0,0.0,0.13,0.0,0,0.0,0.01,0,0.0,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.25,50.0,0.63,0.25,0.0,14.44,0.25,0.25,31.0,80.57,16.69,69.92,1.51,83.33,24.35,90.21,6.65,45.28,23.87,40.92,0.05,0.25,0.0,0.0,0.0,0.0,0.0,6.4,54.9,0.88,0.0,0.13,0.0,0.38,0.0,7.53,70.0,94.94,9.92,0,,0,,0,0.0,0.0,0.0,,,0.63,,7.53,0.0,0.0,0.0,0.0,0,0
Wilberth Hernández,Wilberth Alberto Apellidos Hernández Zavala,162779,Cacahuatique,Cacahuatique,https://cdn5.wyscout.com/photos/team/public/g-21844_120x120.png,Primera Division,GK,GK,100,,0,,0,32.0,1994-04-05,150000,,7,717,0,0.0,0,0.0,0.5,100.0,El Salvador,['El Salvador'],,0,0,False,1.13,0.0,0.0,0.38,100.0,0.0,0.0,0.13,1.13,1.71,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,4.02,0.0,0.13,9.92,81.01,6.03,72.92,0.0,0.0,5.15,95.12,4.77,65.79,38.32,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,44.44,0.0,0.0,0.13,0.0,0.0,0.0,4.14,75.76,93.55,3.89,12,1.51,31,3.89,2,61.29,11.93,1.5,-0.07,-0.009000000000000001,0.0,1.76,0.38,,,,0.0,0,0
R. Padilla,Ronald Oswaldo Padilla Gonzalez,393630,Cacahuatique,Cacahuatique,https://cdn5.wyscout.com/photos/team/public/g-21844_120x120.png,Primera Division,LCB,LCB,90,,0,,0,30.0,1996-07-25,100000,,7,717,1,0.8300000000000001,0,0.06,16.44,63.36,El Salvador,['El Salvador'],,0,0,False,8.03,5.65,73.33,6.28,54.0,0.13,0.19,0.0,3.77,5.7,0.88,1,0.13,0,0.0,0.63,0.13,1,0.13,0.1,1,0.13,8,1.0,25.0,12.5,0.0,0.38,66.67,0.38,66.67,0.0,0.0,0.0,0.25,50.0,2.13,64.71,0.63,0.5,0.0,15.82,0.25,1.38,33.89,78.52,18.08,65.97,1.88,93.33,26.36,88.1,7.15,43.86,24.32,39.94,0.01,0.25,0.0,0.0,0.0,0.0,0.13,5.15,48.78,1.26,40.0,0.5,25.0,0.25,0.25,7.78,64.52,94.74,11.92,0,,0,,0,0.0,0.0,0.0,,,1.0,,6.28,0.13,0.13,100.0,0.0,0,0
D. Mejía,Diego Eduardo Mejía Martínez,-544216,Platense Municipal Zacatecoluca,Platense Municipal Zacatecoluca,https://cdn5.wyscout.com/photos/team/public/g-14347_120x120.png,Primera Division,"RB, LB",RB,49,LB,40,,0,20.0,2006-04-28,0,,7,712,0,0.0,0,0.06,10.87,58.14,El Salvador,['El Salvador'],,0,0,False,7.33,5.69,71.11,1.26,40.0,0.13,0.18,0.13,3.16,4.44,0.88,2,0.25,0,0.0,1.1400000000000001,0.0,0,0.0,0.0,0,0.0,1,0.13,0.0,0.0,0.0,1.01,37.5,0.25,0.0,0.76,50.0,0.13,1.1400000000000001,66.67,2.91,47.83,0.51,0.63,0.0,15.29,1.01,0.38,24.65,73.33,12.77,64.36,3.41,88.89,17.82,85.82,5.94,40.43,19.79,32.68,0.01,0.51,0.0,0.13,0.0,0.0,0.0,3.79,50.0,1.26,40.0,0.25,0.0,0.13,0.38,6.32,62.0,70.0,5.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.26,0.0,0.0,0.0,0.25,0,0
Cristopher Rauda,Cristopher David Rauda,-406916,Platense Municipal Zacatecoluca,Platense Municipal Zacatecoluca,https://cdn5.wyscout.com/photos/team/public/g-14347_120x120.png,Primera Division,GK,GK,100,,0,,0,31.0,1995-04-10,0,,7,712,0,0.0,0,0.0,0.38,100.0,El Salvador,['El Salvador'],unknown,175,0,False,0.88,0.0,0.0,0.38,100.0,0.0,0.0,0.0,0.88,1.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.13,0.25,8.34,93.94,3.67,89.66,0.0,0.0,6.7,96.23,1.6400000000000001,84.62,27.45,48.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,83.33,97.14,4.42,9,1.1400000000000001,25,3.16,1,64.0,8.47,1.07,-0.53,-0.067,0.0,1.26,0.38,,,,0.0,0,0
