Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Moreira,Victor Manuel Moreira Martínez,431777,Estrella Roja,Estrella Roja,https://cdn5.wyscout.com/photos/team/public/g40722_120x120.png,Liga Nacional,GK,GK,100,,0,,0,32.0,1994-05-25,0,,5,520,0,0.0,0,0.0,0.6900000000000001,100.0,Honduras,['Honduras'],,0,0,False,0.35000000000000003,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,0.35000000000000003,0.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,5.71,0.0,0.52,14.88,84.88,9.52,76.36,0.0,0.0,9.0,98.08,5.88,64.71,38.88,55.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,42.86,0.17,0.0,0.0,0.0,0.0,0.0,4.33,84.0,100.0,5.37,7,1.21,18,3.12,1,61.11,6.85,1.19,-0.15,-0.026000000000000002,0.0,3.46,0.35000000000000003,,,,0.0,0,0
M. Rodriguez,Miguel Antonio Rodriguez Agurcia,-254302,Atlético Independiente,Atlético Independiente,https://cdn5.wyscout.com/photos/team/public/g35178_120x120.png,Liga Nacional,GK,GK,100,,0,,0,23.0,2003-06-13,0,2026-12-31,5,511,0,0.0,0,0.0,0.88,100.0,Nicaragua,['Nicaragua'],,0,0,False,0.18,0.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.18,0,0.0,0.18,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.53,100.0,0.0,0.0,0.0,3.7,0.0,0.53,12.15,79.71,6.69,63.16,0.0,0.0,7.75,90.91,4.4,60.0,35.06,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,72.73,100.0,5.11,6,1.06,20,3.52,0,70.0,4.3,0.76,-1.7000000000000002,-0.299,0.0,4.4,0.0,,,,0.0,0,0
M. Techera,Mathías Sebastián Techera Pizzarro,-124476,Atlético Independiente,Atlético Independiente,https://cdn5.wyscout.com/photos/team/public/g35178_120x120.png,Liga Nacional,"RCB3, RCB",RCB3,82,RCB,14,,0,34.0,1992-02-16,150000,,5,511,1,0.66,0,0.0,6.69,76.32,Uruguay,['Uruguay'],right,191,78,False,9.33,3.35,78.95,2.11,75.0,0.0,0.0,0.88,6.69,7.97,0.35000000000000003,0,0.0,0,0.0,0.35000000000000003,0.18,1,0.18,0.12,0,0.0,2,0.35000000000000003,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,33.33,0.7000000000000001,0.53,0.18,14.79,0.7000000000000001,0.35000000000000003,23.95,86.76,13.56,77.92,0.88,100.0,20.96,92.44,2.99,47.06,22.57,39.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,66.67,0.18,0.0,0.0,0.0,0.0,0.0,5.46,74.19,97.92,8.45,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,2.11,0.0,0.0,0.0,0.0,0,0
N. Enamorado,Noé Isaí Enamorado Funes,451836,Atlético Independiente,Atlético Independiente,https://cdn5.wyscout.com/photos/team/public/g35178_120x120.png,Liga Nacional,"RWB, RB",RWB,85,RB,14,,0,30.0,1996-02-24,0,,5,511,0,0.03,1,0.23,9.69,43.64,Honduras,['Honduras'],,0,0,False,5.28,4.23,37.5,1.06,50.0,0.0,0.0,0.18,3.7,4.41,0.88,0,0.0,0,0.0,1.06,0.0,0,0.0,0.01,0,0.0,2,0.35000000000000003,0.0,0.0,0.18,1.4100000000000001,50.0,0.0,0.0,1.4100000000000001,50.0,0.18,0.53,66.67,4.4,48.0,0.7000000000000001,1.23,0.0,23.42,1.5899999999999999,1.23,31.53,77.65,11.62,66.67,4.23,91.67,26.24,83.89,3.87,45.45,20.68,42.79,0.04,0.18,0.0,0.0,0.0,0.0,0.35000000000000003,4.58,69.23,1.23,57.14,0.18,100.0,0.53,0.7000000000000001,7.4,71.43,86.0,8.81,0,,0,,0,0.0,0.0,0.0,,,0.18,,1.06,0.35000000000000003,0.18,0.0,0.18,0,0
C. Mejía,Carlos Alberto Mejía Cruz,-205009,Real España,Real España,https://cdn5.wyscout.com/photos/team/public/3428_120x120.png,Liga Nacional,"DMF, RCMF",DMF,62,RCMF,25,,0,29.0,1997-03-23,250000,,5,510,0,0.55,2,0.1,13.76,50.0,Honduras,['Honduras'],right,178,0,False,9.0,6.71,42.11,3.0,52.94,0.18,0.29,0.71,6.0,10.0,3.18,1,0.18,0,0.0,0.71,0.0,0,0.0,0.1,0,0.0,7,1.24,0.0,0.0,0.35000000000000003,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.88,80.0,3.35,57.89,0.88,0.53,0.0,25.59,0.18,1.06,38.82,87.27,9.35,69.81,4.24,91.67,35.47,89.55,3.18,66.67,20.32,46.56,0.02,0.35000000000000003,0.0,0.0,0.0,0.0,0.35000000000000003,6.0,85.29,0.18,0.0,0.0,0.0,0.18,0.0,5.47,64.52,95.73,20.65,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,3.0,0.0,0.0,0.0,0.0,0,0
L. Lopez,Luis Aurelio Lopez Fernandez,251976,Real España,Real España,https://cdn5.wyscout.com/photos/team/public/3428_120x120.png,Liga Nacional,GK,GK,100,,0,,0,32.0,1993-09-13,275000,,5,510,0,0.0,0,0.0,0.18,100.0,Honduras,['Honduras'],right,182,75,False,0.53,0.18,100.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.59,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41,0.18,0.0,16.59,86.17,6.71,76.32,0.18,0.0,11.47,96.92,5.12,62.07,34.97,51.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,57.14,0.18,100.0,0.0,0.0,0.18,0.0,4.41,64.0,94.12,9.0,3,0.53,19,3.35,2,84.21,6.52,1.15,3.52,0.621,0.0,2.47,0.0,,,,0.0,0,0
D. García,Devron Kyber García Ducker,279461,Real España,Real España,https://cdn5.wyscout.com/photos/team/public/3428_120x120.png,Liga Nacional,"RCB, LCB",RCB,86,LCB,10,,0,30.0,1996-02-17,250000,2027-06-30,5,510,0,0.0,0,0.0,8.47,56.25,Honduras,['Honduras'],right,185,85,False,7.76,3.71,57.14,3.88,59.09,0.18,0.29,0.35000000000000003,5.47,9.12,1.24,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.0,23.82,1.4100000000000001,0.18,36.71,88.46,12.35,68.57,2.29,100.0,32.47,92.93,4.24,54.17,24.86,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,55.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,71.43,100.0,20.12,0,,0,,0,0.0,0.0,0.0,,,2.12,,3.88,0.0,0.0,0.0,0.0,0,0
F. Flores,Franklin Geovany Flores Sacaza,402818,Real España,Real España,https://cdn5.wyscout.com/photos/team/public/3428_120x120.png,Liga Nacional,LB,LB,97,,0,,0,30.0,1996-05-18,200000,2027-06-30,5,510,0,0.26,3,1.4100000000000001,13.94,58.23,Honduras,['Honduras'],left,174,0,False,7.06,5.29,66.67,0.88,100.0,0.0,0.0,0.0,3.5300000000000002,5.88,0.88,0,0.0,0,0.0,3.35,0.0,0,0.0,0.05,0,0.0,3,0.53,0.0,0.0,0.53,4.59,46.15,4.59,46.15,0.0,0.0,0.18,1.94,63.64,5.65,53.13,0.88,2.29,0.53,31.06,3.18,1.24,38.82,80.91,13.94,75.95,6.71,97.37,30.88,86.29,3.5300000000000002,75.0,18.93,44.03,0.25,1.5899999999999999,0.18,0.0,0.0,0.0,1.24,2.65,80.0,4.06,47.83,0.0,0.0,0.53,2.12,7.06,80.0,72.88,10.41,0,,0,,0,0.0,0.0,0.0,,,0.88,,0.88,0.0,0.0,0.0,0.0,0,0
J. Padilla,Joseph Yahir  Padilla,-860309,Estrella Roja,Estrella Roja,https://cdn5.wyscout.com/photos/team/public/g40722_120x120.png,Liga Nacional,"LB, LCB3",LB,50,LCB3,49,,0,22.0,2004-01-01,0,,5,510,0,0.85,0,0.0,12.35,51.43,Honduras,['Honduras'],unknown,0,0,False,7.24,6.18,54.29,3.0,47.06,0.0,0.0,0.18,3.88,6.88,1.24,0,0.0,0,0.0,0.88,0.0,0,0.0,0.15,0,0.0,2,0.35000000000000003,50.0,0.0,0.0,1.24,42.86,1.24,42.86,0.0,0.0,0.18,0.18,100.0,2.47,42.86,0.53,0.88,0.18,21.88,1.24,0.71,30.35,78.49,16.94,73.96,3.18,88.89,25.24,87.41,4.41,40.0,19.4,46.21,0.0,0.0,0.18,0.0,0.0,0.0,0.0,5.47,58.06,1.5899999999999999,22.22,0.0,0.0,0.35000000000000003,0.0,7.24,73.17,79.49,6.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.0,0.0,0.0,0.0,0.0,0,0
O. Almendárez,Oscar Santiago Almendárez Martínez,-101266,Olancho,Olancho,https://cdn5.wyscout.com/photos/team/public/g-16454_120x120.png,Liga Nacional,RB,RB,77,,0,,0,34.0,1992-07-13,0,,5,508,0,0.18,1,0.62,6.73,68.42,Honduras,['Honduras'],right,0,0,False,6.73,3.7199999999999998,61.9,1.06,66.67,0.35000000000000003,0.48,0.35000000000000003,4.07,5.48,0.53,2,0.35000000000000003,0,0.0,1.24,0.0,0,0.0,0.03,0,0.0,4,0.71,0.0,0.0,0.18,2.83,37.5,0.18,100.0,2.66,33.33,0.18,0.18,100.0,1.77,80.0,0.89,0.53,0.0,35.08,2.3,1.24,46.24,76.63,19.31,66.06,4.43,96.0,35.26,87.44,8.33,42.55,23.12,46.17,0.11,1.06,0.0,0.0,0.0,0.0,0.71,8.15,54.35,4.25,29.17,0.0,0.0,0.35000000000000003,1.24,11.16,66.67,82.76,15.41,0,,0,,0,0.0,0.0,0.0,,,1.42,,1.06,0.53,0.18,0.0,0.0,0,0
