Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Scott,Olivia Scott,-242717,Ottawa Rapid,Ottawa Rapid,https://cdn5.wyscout.com/photos/team/public/g-22272_120x120.png,Northern Super League,RCB,RCB,99,,0,,0,25.0,2001-03-23,0,,11,1070,0,0.42,0,0.12,9.0,61.68,Canada,['Canada'],,173,0,False,8.58,4.21,70.0,2.52,66.67,0.0,0.0,1.09,5.64,7.7,0.42,0,0.0,0,0.0,0.25,0.0,0,0.0,0.04,0,0.0,4,0.34,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.25,100.0,1.26,40.0,0.76,0.42,0.08,46.93,0.08,0.25,62.07,89.16,23.55,79.29,3.62,95.35,59.64,91.4,2.36,35.71,17.39,34.93,0.01,0.08,0.0,0.0,0.0,0.0,0.17,4.12,67.35,0.42,0.0,0.0,0.0,0.17,0.0,5.89,40.0,97.05,28.51,0,,0,,0,0.0,0.0,0.0,,,2.19,,2.52,0.0,0.0,0.0,0.0,0,0
J. Harris,Jyllissa Harris,-202824,Ottawa Rapid,Ottawa Rapid,https://cdn5.wyscout.com/photos/team/public/g-22272_120x120.png,Northern Super League,LCB,LCB,99,,0,,0,26.0,2000-04-08,0,2027-01-01,11,1070,1,0.62,1,0.44,7.07,67.86,United States,['United States'],unknown,173,0,False,10.09,4.29,76.47,0.67,50.0,0.0,0.0,1.18,6.8100000000000005,9.31,0.17,1,0.08,0,0.0,0.84,0.08,1,0.08,0.05,0,0.0,6,0.5,50.0,16.667,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.67,87.5,1.77,47.62,0.17,0.25,0.08,43.07,0.08,0.17,57.62,80.29,29.19,70.89,2.19,69.23,44.41,89.77,13.12,48.72,23.08,43.45,0.04,0.34,0.0,0.08,0.0,0.0,0.25,13.54,57.76,1.77,42.86,0.08,100.0,0.67,0.0,13.63,72.84,93.08,21.87,0,,0,,0,0.0,0.0,0.0,,,0.76,,0.67,0.5,0.25,66.67,0.0,0,0
A. Karpenko,Anna Karpenko,-106794,Montreal Roses,Montreal Roses,https://cdn5.wyscout.com/photos/team/public/g-23340_120x120.png,Northern Super League,GK,GK,100,,0,,0,24.0,2002-04-10,0,,11,1060,0,0.0,0,0.0,0.25,100.0,Canada,['Canada'],,173,0,False,0.93,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.85,1.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.08,0.0,0.0,14.94,0.25,0.17,27.25,82.24,11.8,64.03,0.08,100.0,19.36,97.81,7.9,44.09,24.47,41.47,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.1,15.38,0.0,0.0,0.0,0.0,0.0,0.0,5.01,30.51,95.24,10.7,11,0.93,43,3.65,4,74.42,12.34,1.05,1.34,0.114,0.0,1.7000000000000002,0.0,,,,0.0,0,0
A. Weichers,Addison Weichers,-699550,Halifax Tides,Halifax Tides,https://cdn5.wyscout.com/photos/team/public/g-23339_120x120.png,Northern Super League,"LCB, RCB",LCB,63,RCB,36,,0,24.0,2002-01-15,0,,11,1060,1,0.63,1,0.0,9.0,56.6,United States,['United States'],unknown,0,0,False,8.41,5.18,59.02,1.53,66.67,0.0,0.0,0.93,5.35,6.75,0.68,1,0.08,0,0.0,0.25,0.08,1,0.08,0.05,1,0.08,3,0.25,66.67,33.333,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,33.33,1.44,35.29,0.42,0.42,0.17,35.58,0.17,0.25,46.87,85.87,19.36,76.32,4.25,92.0,41.52,90.8,5.35,47.62,21.0,41.32,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.16,63.27,0.42,20.0,0.25,66.67,0.08,0.0,7.13,60.71,94.54,20.21,0,,0,,0,0.0,0.0,0.0,,,2.7199999999999998,,1.53,0.25,0.0,0.0,0.0,0,0
J. Vallerand,Julianne Vallerand,-106795,Halifax Tides,Halifax Tides,https://cdn5.wyscout.com/photos/team/public/g-23339_120x120.png,Northern Super League,RB,RB,100,,0,,0,24.0,2001-08-09,0,,11,1060,4,1.94,0,0.58,17.83,57.14,Canada,['Canada'],,168,0,False,10.95,8.24,59.79,1.7000000000000002,55.0,0.17,0.21,0.25,5.86,7.39,0.76,1,0.08,0,0.0,2.46,0.34,4,0.34,0.16,2,0.17,17,1.44,52.94,23.529,0.0,0.93,36.36,0.0,0.0,0.93,36.36,0.08,2.04,66.67,6.54,59.74,1.3599999999999999,1.87,0.0,25.73,0.68,1.9500000000000002,36.93,79.08,16.9,70.35,8.58,96.04,33.2,83.63,2.89,41.18,15.48,41.41,0.05,0.51,0.08,0.0,0.08,0.0,0.51,3.91,58.7,1.9500000000000002,52.17,0.17,0.0,0.68,0.25,6.79,62.5,83.54,6.71,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.7000000000000002,0.08,0.0,0.0,0.0,0,0
S. Allen,Sheyenne Allen,-274503,Halifax Tides,Halifax Tides,https://cdn5.wyscout.com/photos/team/public/g-23339_120x120.png,Northern Super League,LB,LB,100,,0,,0,25.0,2001-04-26,0,2026-11-30,11,1048,0,0.29,0,0.18,14.26,59.64,United States,['United States'],unknown,157,0,False,10.48,6.96,61.73,1.37,56.25,0.52,0.65,0.17,5.67,7.12,0.9400000000000001,2,0.17,0,0.0,1.29,0.0,0,0.0,0.03,0,0.0,2,0.17,0.0,0.0,0.0,0.34,75.0,0.34,75.0,0.0,0.0,0.17,1.03,100.0,4.55,60.38,0.52,0.9400000000000001,0.17,25.42,0.52,1.63,39.42,70.81,18.38,53.74,7.04,91.46,35.04,75.74,4.04,27.66,16.29,37.92,0.02,0.17,0.09,0.0,0.0,0.0,0.17,4.8100000000000005,41.07,1.12,30.77,0.0,0.0,0.17,0.26,7.73,43.33,81.91,8.07,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.37,0.0,0.0,0.0,0.0,0,0
K. Melenhorst,Keera Michele Melenhorst,-273400,Ottawa Rapid,Ottawa Rapid,https://cdn5.wyscout.com/photos/team/public/g-22272_120x120.png,Northern Super League,"RDMF, LDMF, AMF",RDMF,55,LDMF,18,AMF,10,23.0,2003-05-02,0,,11,1026,4,1.83,4,1.71,20.35,50.86,Canada,['Canada'],unknown,160,0,False,8.16,6.67,65.79,0.79,44.44,0.09,0.12,0.18,3.68,5.0,1.23,3,0.26,0,0.0,2.19,0.35000000000000003,4,0.35000000000000003,0.16,0,0.0,13,1.1400000000000001,53.85,30.769,0.35000000000000003,0.26,66.67,0.09,100.0,0.09,100.0,0.0,1.8399999999999999,47.62,11.23,39.84,2.63,1.32,0.35000000000000003,34.56,0.35000000000000003,2.54,50.61,86.66,15.61,75.28,12.54,95.8,49.12,88.04,1.23,35.71,14.61,27.72,0.15,1.58,0.09,0.09,0.61,85.71,1.32,5.18,72.88,1.9300000000000002,72.73,0.7000000000000001,75.0,1.67,0.18,6.05,60.87,91.56,13.51,0,,0,,0,0.0,0.0,0.0,,,0.79,,0.79,0.0,0.0,0.0,0.0,0,0
M. Sauvé,Mégane Sauvé,-488233,Montreal Roses,Montreal Roses,https://cdn5.wyscout.com/photos/team/public/g-23340_120x120.png,Northern Super League,"LWB, LCB3",LWB,61,LCB3,38,,0,28.0,1998-04-06,0,,11,1023,0,0.22,3,0.78,13.02,55.41,Canada,['Canada'],unknown,0,0,False,9.94,5.98,63.24,1.58,61.11,0.0,0.0,0.44,6.16,9.01,1.06,0,0.0,0,0.0,1.85,0.0,0,0.0,0.02,0,0.0,3,0.26,33.33,0.0,0.26,1.85,42.86,1.67,42.11,0.18,50.0,0.35000000000000003,1.32,73.33,4.05,45.65,0.7000000000000001,1.06,0.26,29.38,1.85,0.35000000000000003,43.55,74.95,17.51,61.31,6.33,90.28,37.57,80.33,4.13,40.43,18.12,41.05,0.07,0.53,0.09,0.0,0.09,0.0,0.44,5.8100000000000005,57.58,2.55,41.38,0.26,33.33,0.26,0.88,9.5,55.56,86.36,13.55,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.58,0.0,0.0,0.0,0.0,0,0
D. Pridham,Delaney Baie Pridham,-257879,Ottawa Rapid,Ottawa Rapid,https://cdn5.wyscout.com/photos/team/public/g-22272_120x120.png,Northern Super League,CF,CF,100,,0,,0,28.0,1997-09-02,0,,11,1003,7,6.89,4,2.12,16.42,32.79,Canada,"['Canada', 'United States']",,0,0,False,3.32,2.51,28.57,3.32,43.24,0.0,0.0,0.18,2.6,3.6,1.53,0,0.0,0,0.0,2.51,0.63,6,0.54,0.62,1,0.09,41,3.68,41.46,17.073,0.36,0.72,62.5,0.18,100.0,0.54,50.0,0.09,0.99,45.45,8.52,31.58,7.0,0.9,0.18,15.52,2.7800000000000002,0.99,19.2,69.16,3.5,53.85,5.92,77.27,17.41,70.62,1.17,53.85,13.22,23.24,0.19,1.08,0.18,0.0,0.18,50.0,0.9,1.88,52.38,0.99,36.36,0.27,66.67,1.35,0.36,1.97,59.09,63.16,3.41,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.32,0.0,0.0,0.0,0.09,2,50
K. Adamek,Kayla Joan Zophia Adamek,-144198,Ottawa Rapid,Ottawa Rapid,https://cdn5.wyscout.com/photos/team/public/g-22272_120x120.png,Northern Super League,RB,RB,96,,0,,0,31.0,1995-02-01,0,,11,1001,1,0.74,0,0.56,11.33,46.83,Poland,"['Poland', 'Canada']",,0,0,False,7.55,6.92,51.95,1.44,25.0,0.0,0.0,0.45,3.96,5.43,1.35,0,0.0,0,0.0,1.53,0.09,1,0.09,0.07,0,0.0,7,0.63,42.86,14.286,0.0,1.8,60.0,0.0,0.0,1.8,60.0,0.09,0.27,66.67,2.16,45.83,1.08,0.81,0.0,29.94,1.8900000000000001,0.45,38.66,71.16,17.26,59.38,7.82,90.8,33.99,74.87,2.88,34.38,14.79,38.67,0.05,0.36,0.09,0.09,0.0,0.0,0.45,3.6,52.5,2.16,54.17,0.0,0.0,0.27,1.17,8.9,49.49,73.33,6.74,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.44,0.0,0.0,0.0,0.0,0,0
